date,province,mean,minimum,maximum,rain
2020-01-20,Gangneung,3.7,1.1,7.5,0.0
2020-01-20,Daegwallyeong,-3.7,-6.1,-0.7,0.0
2020-01-20,Donghae,3.7,0.0,6.9,0.0
2020-01-20,Northgangneung,2.2,-2.4,6.4,0.0
2020-01-20,Northchuncheon,-0.9,-7.1,5.1,0.0
2020-01-20,Sokcho,2.3,-0.6,5.9,0.0
2020-01-20,Wonju,1.1,-2.5,5.8,0.0
2020-01-20,Inje,0.9,-3.5,5.1,0.0
2020-01-20,Jeongseon,0.4,-2.4,3.4,0.0
2020-01-20,Cheorwon,-1.4,-6.5,4.1,0.0
2020-01-20,Chuncheon,-0.6,-6.1,4.9,0.0
2020-01-20,Taebaek,-2.4,-4.3,1.1,0.0
2020-01-20,Hongcheon,-0.1,-5.6,5.8,0.0
2020-01-21,Gangneung,2.8,-1.9,7.8,0.0
2020-01-21,Daegwallyeong,-4.3,-14.2,3.5,0.0
2020-01-21,Donghae,2.4,-1.5,6.0,0.0
2020-01-21,Northgangneung,1.7,-2.9,5.8,0.0
2020-01-21,Northchuncheon,-3.1,-9.7,3.9,0.0
2020-01-21,Sokcho,1.2,-3.5,5.9,0.0
2020-01-21,Wonju,-0.9,-6.2,4.9,0.0
2020-01-21,Inje,-2.7,-8.6,5.4,0.0
2020-01-21,Jeongseon,-2.5,-8.3,5.5,0.0
2020-01-21,Cheorwon,-4.1,-11.3,4.0,0.0
2020-01-21,Chuncheon,-2.5,-8.8,4.8,0.0
2020-01-21,Taebaek,-2.2,-10.9,4.9,0.0
2020-01-21,Hongcheon,-2.4,-8.5,5.8,0.0
2020-01-22,Gangneung,7.1,4.7,9.8,0.0
2020-01-22,Daegwallyeong,-1.3,-3.8,2.6,0.0
2020-01-22,Donghae,6.1,1.9,8.9,0.0
2020-01-22,Northgangneung,5.5,1.9,9.5,0.0
2020-01-22,Northchuncheon,-0.5,-3.7,6.0,0.0
2020-01-22,Sokcho,5.6,2.0,11.2,0.0
2020-01-22,Wonju,1.3,-1.5,4.8,0.05
2020-01-22,Inje,0.2,-3.3,6.9,0.0
2020-01-22,Jeongseon,0.0,-4.0,5.3,0.0
2020-01-22,Cheorwon,-0.2,-4.1,7.2,0.0
2020-01-22,Chuncheon,-0.1,-3.1,5.1,0.0
2020-01-22,Taebaek,1.6,-0.1,4.1,0.0
2020-01-22,Hongcheon,-0.1,-2.9,5.5,0.0
2020-01-23,Gangneung,7.2,3.4,12.5,0.0
2020-01-23,Daegwallyeong,0.3,-6.1,9.3,0.0
2020-01-23,Donghae,6.6,3.0,10.5,0.0
2020-01-23,Northgangneung,6.3,2.5,10.5,0.0
2020-01-23,Northchuncheon,0.9,-5.7,10.7,0.0
2020-01-23,Sokcho,5.9,2.3,10.4,0.0
2020-01-23,Wonju,3.7,-1.7,11.5,0.0
2020-01-23,Inje,1.2,-4.3,12.2,0.0
2020-01-23,Jeongseon,2.7,-1.8,12.4,0.0
2020-01-23,Cheorwon,0.9,-5.3,9.4,0.0
2020-01-23,Chuncheon,2.0,-3.9,11.2,0.0
2020-01-23,Taebaek,2.5,-1.4,10.2,0.05
2020-01-23,Hongcheon,2.1,-4.1,12.2,0.0
2020-01-24,Gangneung,4.4,2.5,7.2,7.0
2020-01-24,Daegwallyeong,-2.3,-8.2,2.5,0.05
2020-01-24,Donghae,5.2,3.4,7.6,10.7
2020-01-24,Northgangneung,3.9,2.5,6.5,11.2
2020-01-24,Northchuncheon,0.5,-6.4,9.1,0.0
2020-01-24,Sokcho,4.0,2.0,6.4,7.0
2020-01-24,Wonju,2.5,-2.6,9.4,0.0
2020-01-24,Inje,0.6,-5.8,8.6,0.0
2020-01-24,Jeongseon,1.1,-5.2,9.4,0.0
2020-01-24,Cheorwon,-1.2,-7.0,7.1,0.0
2020-01-24,Chuncheon,1.3,-4.9,8.9,0.0
2020-01-24,Taebaek,-0.1,-4.7,4.7,0.3
2020-01-24,Hongcheon,1.4,-5.3,10.6,0.0
2020-01-25,Gangneung,5.7,2.1,10.1,0.0
2020-01-25,Daegwallyeong,-0.1,-3.1,4.6,0.0
2020-01-25,Donghae,5.8,2.3,9.6,0.1
2020-01-25,Northgangneung,4.7,1.5,8.5,0.0
2020-01-25,Northchuncheon,1.9,-2.9,8.6,0.0
2020-01-25,Sokcho,4.7,0.9,7.7,0.0
2020-01-25,Wonju,3.2,-0.9,9.4,0.0
2020-01-25,Inje,2.1,-1.7,9.5,0.0
2020-01-25,Jeongseon,1.6,-2.4,8.1,0.0
2020-01-25,Cheorwon,0.0,-5.2,8.2,0.0
2020-01-25,Chuncheon,2.5,-0.8,8.3,0.0
2020-01-25,Taebaek,1.8,-1.1,4.9,0.05
2020-01-25,Hongcheon,2.2,-2.3,9.8,0.0
2020-01-26,Gangneung,5.2,3.5,6.4,7.2
2020-01-26,Daegwallyeong,-1.1,-2.8,1.3,4.2
2020-01-26,Donghae,5.7,3.4,7.0,3.6
2020-01-26,Northgangneung,4.9,3.5,6.0,6.6
2020-01-26,Northchuncheon,3.6,-4.6,10.9,0.0
2020-01-26,Sokcho,5.1,3.3,6.7,6.9
