강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 강릉
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,105,
2020-01-21,105,
2020-01-22,105,
2020-01-23,105,
2020-01-24,105,7
2020-01-25,105,
2020-01-26,105,7.2
2020-01-27,105,3.2
2020-01-28,105,5.8
2020-01-29,105,1.1
2020-01-30,105,17.4
2020-01-31,105,
2020-02-01,105,
2020-02-02,105,
2020-02-03,105,
2020-02-04,105,
2020-02-05,105,
2020-02-06,105,
2020-02-07,105,
2020-02-08,105,1.6
2020-02-09,105,
2020-02-10,105,
2020-02-11,105,
2020-02-12,105,4.5
2020-02-13,105,
2020-02-14,105,
2020-02-15,105,0
2020-02-16,105,5
2020-02-17,105,
2020-02-18,105,
2020-02-19,105,
2020-02-20,105,
2020-02-21,105,
2020-02-22,105,0
2020-02-23,105,
2020-02-24,105,
2020-02-25,105,43.5
2020-02-26,105,22.1
2020-02-27,105,0.8
2020-02-28,105,0
2020-02-29,105,
2020-03-01,105,0
2020-03-02,105,0.5
2020-03-03,105,0
2020-03-04,105,0
2020-03-05,105,
2020-03-06,105,
2020-03-07,105,
2020-03-08,105,
2020-03-09,105,
2020-03-10,105,17.3
2020-03-11,105,
2020-03-12,105,
2020-03-13,105,
2020-03-14,105,
2020-03-15,105,6.9
2020-03-16,105,5.3
2020-03-17,105,0.1
2020-03-18,105,
2020-03-19,105,0.3
2020-03-20,105,
2020-03-21,105,4.9
2020-03-22,105,
2020-03-23,105,
2020-03-24,105,
2020-03-25,105,
2020-03-26,105,
2020-03-27,105,11.6
2020-03-28,105,
2020-03-29,105,0.2
2020-03-30,105,
2020-03-31,105,
2020-04-01,105,5.2
2020-04-02,105,
2020-04-03,105,
2020-04-04,105,
2020-04-05,105,
2020-04-06,105,
2020-04-07,105,
2020-04-08,105,4.1
2020-04-09,105,
2020-04-10,105,
2020-04-11,105,
2020-04-12,105,15.8
2020-04-13,105,
2020-04-14,105,
2020-04-15,105,
2020-04-16,105,
2020-04-17,105,1.4
2020-04-18,105,1.3
2020-04-19,105,23.3
2020-04-20,105,8.7
2020-04-21,105,
2020-04-22,105,
2020-04-23,105,
2020-04-24,105,
2020-04-25,105,0
2020-04-26,105,5
2020-04-27,105,0.8
2020-04-28,105,
2020-04-29,105,
2020-04-30,105,
2020-05-01,105,
2020-05-02,105,
2020-05-03,105,0
2020-05-04,105,0.3
2020-05-05,105,
2020-05-06,105,
2020-05-07,105,
2020-05-08,105,0.9
2020-05-09,105,26.7
2020-05-10,105,
2020-05-11,105,
2020-05-12,105,
2020-05-13,105,
2020-05-14,105,
2020-05-15,105,10
2020-05-16,105,
2020-05-17,105,
2020-05-18,105,22.1
2020-05-19,105,26
2020-05-20,105,5
2020-05-21,105,
2020-05-22,105,4.1
2020-05-23,105,0
2020-05-24,105,0.4
2020-05-25,105,
2020-05-26,105,0
2020-05-27,105,
2020-05-28,105,
2020-05-29,105,
2020-05-30,105,
2020-05-31,105,
2020-06-01,105,
2020-06-02,105,
2020-06-03,105,
2020-06-04,105,
2020-06-05,105,
2020-06-06,105,
2020-06-07,105,
2020-06-08,105,
2020-06-09,105,
2020-06-10,105,3.4
2020-06-11,105,0.6
2020-06-12,105,
2020-06-13,105,
2020-06-14,105,
2020-06-15,105,
2020-06-16,105,
2020-06-17,105,
2020-06-18,105,
2020-06-19,105,0.3
2020-06-20,105,
2020-06-21,105,
2020-06-22,105,
2020-06-23,105,
2020-06-24,105,13.8
2020-06-25,105,
2020-06-26,105,
2020-06-27,105,0.1
2020-06-28,105,
2020-06-29,105,2.2
2020-06-30,105,250
2020-07-01,105,6.7
2020-07-02,105,
2020-07-03,105,
2020-07-04,105,0.5
2020-07-05,105,
2020-07-06,105,
2020-07-07,105,
2020-07-08,105,0.4
2020-07-09,105,
2020-07-10,105,22.5
2020-07-11,105,8.2
2020-07-12,105,0.7
2020-07-13,105,49
2020-07-14,105,42.2
2020-07-15,105,0
2020-07-16,105,
2020-07-17,105,
2020-07-18,105,
2020-07-19,105,0
2020-07-20,105,0
2020-07-21,105,
2020-07-22,105,
2020-07-23,105,30.1
2020-07-24,105,121.8
2020-07-25,105,54.5
2020-07-26,105,4.8
2020-07-27,105,1.5
2020-07-28,105,3.9
2020-07-29,105,19.4
2020-07-30,105,9.7
2020-07-31,105,
2020-08-01,105,0.8
2020-08-02,105,3.9
2020-08-03,105,10.3
2020-08-04,105,4.7
2020-08-05,105,7.9
2020-08-06,105,5.8
2020-08-07,105,0.3
2020-08-08,105,8.4
2020-08-09,105,1.7
2020-08-10,105,9.5
2020-08-11,105,17.5
2020-08-12,105,
2020-08-13,105,
2020-08-14,105,0.9
2020-08-15,105,37.9
2020-08-16,105,
2020-08-17,105,
2020-08-18,105,
2020-08-19,105,
2020-08-20,105,3.7
2020-08-21,105,0.7
2020-08-22,105,11.3
2020-08-23,105,2.1
2020-08-24,105,
2020-08-25,105,
2020-08-26,105,0.1
2020-08-27,105,0
2020-08-28,105,0.4
2020-08-29,105,0.2
2020-08-30,105,21.9
2020-08-31,105,0.4
2020-09-01,105,0.2
2020-09-02,105,154.4
2020-09-03,105,77
2020-09-04,105,
2020-09-05,105,0
2020-09-06,105,31.7
2020-09-07,105,236.2
2020-09-08,105,
2020-09-09,105,6.5
2020-09-10,105,
2020-09-11,105,0.2
