강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대관령
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,100,
2020-01-21,100,
2020-01-22,100,
2020-01-23,100,
2020-01-24,100,0
2020-01-25,100,
2020-01-26,100,4.2
2020-01-27,100,15.3
2020-01-28,100,10.4
2020-01-29,100,0
2020-01-30,100,6
2020-01-31,100,
2020-02-01,100,
2020-02-02,100,
2020-02-03,100,
2020-02-04,100,
2020-02-05,100,
2020-02-06,100,
2020-02-07,100,
2020-02-08,100,
2020-02-09,100,
2020-02-10,100,
2020-02-11,100,
2020-02-12,100,5.9
2020-02-13,100,0.1
2020-02-14,100,
2020-02-15,100,0.1
2020-02-16,100,5.2
2020-02-17,100,
2020-02-18,100,
2020-02-19,100,
2020-02-20,100,
2020-02-21,100,0
2020-02-22,100,0.9
2020-02-23,100,
2020-02-24,100,
2020-02-25,100,30.5
2020-02-26,100,2.2
2020-02-27,100,0.6
2020-02-28,100,0
2020-02-29,100,0
2020-03-01,100,0
2020-03-02,100,0
2020-03-03,100,0.2
2020-03-04,100,0.1
2020-03-05,100,
2020-03-06,100,
2020-03-07,100,
2020-03-08,100,
2020-03-09,100,
2020-03-10,100,16.6
2020-03-11,100,
2020-03-12,100,
2020-03-13,100,0
2020-03-14,100,
2020-03-15,100,3
2020-03-16,100,1.1
2020-03-17,100,0.7
2020-03-18,100,
2020-03-19,100,5.2
2020-03-20,100,
2020-03-21,100,4.2
2020-03-22,100,0
2020-03-23,100,
2020-03-24,100,
2020-03-25,100,
2020-03-26,100,
2020-03-27,100,7.8
2020-03-28,100,
2020-03-29,100,0.2
2020-03-30,100,
2020-03-31,100,
2020-04-01,100,3.8
2020-04-02,100,
2020-04-03,100,
2020-04-04,100,0
2020-04-05,100,
2020-04-06,100,
2020-04-07,100,
2020-04-08,100,
2020-04-09,100,0
2020-04-10,100,
2020-04-11,100,0
2020-04-12,100,26.4
2020-04-13,100,0.5
2020-04-14,100,
2020-04-15,100,
2020-04-16,100,
2020-04-17,100,2.5
2020-04-18,100,0.6
2020-04-19,100,25.4
2020-04-20,100,1.4
2020-04-21,100,
2020-04-22,100,
2020-04-23,100,
2020-04-24,100,
2020-04-25,100,0
2020-04-26,100,3.6
2020-04-27,100,0
2020-04-28,100,
2020-04-29,100,
2020-04-30,100,
2020-05-01,100,
2020-05-02,100,
2020-05-03,100,0
2020-05-04,100,0
2020-05-05,100,
2020-05-06,100,0
2020-05-07,100,
2020-05-08,100,1.9
2020-05-09,100,28.8
2020-05-10,100,0.3
