강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 북춘천
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,93,
2020-01-21,93,
2020-01-22,93,
2020-01-23,93,
2020-01-24,93,
2020-01-25,93,
2020-01-26,93,
2020-01-27,93,
2020-01-28,93,
2020-01-29,93,
2020-01-30,93,0
2020-01-31,93,
2020-02-01,93,
2020-02-02,93,0
2020-02-03,93,0
2020-02-04,93,0.5
2020-02-05,93,
2020-02-06,93,
2020-02-07,93,
2020-02-08,93,
2020-02-09,93,
2020-02-10,93,
2020-02-11,93,
2020-02-12,93,0.2
2020-02-13,93,
2020-02-14,93,
2020-02-15,93,0.5
2020-02-16,93,11.2
2020-02-17,93,0.1
2020-02-18,93,
2020-02-19,93,
2020-02-20,93,
2020-02-21,93,0.8
2020-02-22,93,2
2020-02-23,93,
2020-02-24,93,
2020-02-25,93,19.4
2020-02-26,93,0
2020-02-27,93,
2020-02-28,93,0.6
2020-02-29,93,
2020-03-01,93,1.2
2020-03-02,93,1.3
2020-03-03,93,
2020-03-04,93,0
2020-03-05,93,
2020-03-06,93,
2020-03-07,93,
2020-03-08,93,
2020-03-09,93,
2020-03-10,93,7
2020-03-11,93,
2020-03-12,93,
2020-03-13,93,
2020-03-14,93,
2020-03-15,93,0
2020-03-16,93,
2020-03-17,93,2.2
2020-03-18,93,
2020-03-19,93,0.1
2020-03-20,93,
2020-03-21,93,0
2020-03-22,93,
2020-03-23,93,
2020-03-24,93,
2020-03-25,93,
2020-03-26,93,0
2020-03-27,93,1.9
2020-03-28,93,
2020-03-29,93,
2020-03-30,93,
2020-03-31,93,
2020-04-01,93,0.5
2020-04-02,93,
2020-04-03,93,
2020-04-04,93,
2020-04-05,93,
2020-04-06,93,
2020-04-07,93,
2020-04-08,93,
2020-04-09,93,
2020-04-10,93,
2020-04-11,93,
2020-04-12,93,1.2
2020-04-13,93,
2020-04-14,93,
2020-04-15,93,
2020-04-16,93,
2020-04-17,93,10.2
2020-04-18,93,0.1
2020-04-19,93,4.9
2020-04-20,93,0.1
2020-04-21,93,
2020-04-22,93,0
2020-04-23,93,
2020-04-24,93,
2020-04-25,93,
2020-04-26,93,
2020-04-27,93,
2020-04-28,93,
2020-04-29,93,
2020-04-30,93,
2020-05-01,93,
2020-05-02,93,
2020-05-03,93,
2020-05-04,93,
2020-05-05,93,
2020-05-06,93,
2020-05-07,93,
2020-05-08,93,6.4
2020-05-09,93,40.5
2020-05-10,93,0
2020-05-11,93,0
2020-05-12,93,1.3
2020-05-13,93,
2020-05-14,93,
2020-05-15,93,10.5
2020-05-16,93,1.2
2020-05-17,93,
2020-05-18,93,26.4
2020-05-19,93,16.5
2020-05-20,93,
2020-05-21,93,
2020-05-22,93,0
2020-05-23,93,0.5
2020-05-24,93,16.5
2020-05-25,93,
2020-05-26,93,2.4
2020-05-27,93,
2020-05-28,93,
2020-05-29,93,
2020-05-30,93,
2020-05-31,93,0
2020-06-01,93,0
2020-06-02,93,0.3
2020-06-03,93,
2020-06-04,93,
2020-06-05,93,
2020-06-06,93,
2020-06-07,93,
2020-06-08,93,
2020-06-09,93,
2020-06-10,93,1.4
2020-06-11,93,0.1
2020-06-12,93,
2020-06-13,93,
2020-06-14,93,2.1
2020-06-15,93,
2020-06-16,93,
2020-06-17,93,
2020-06-18,93,
2020-06-19,93,0.1
2020-06-20,93,
2020-06-21,93,
2020-06-22,93,
2020-06-23,93,
2020-06-24,93,45.1
2020-06-25,93,9.6
2020-06-26,93,0.8
2020-06-27,93,3
2020-06-28,93,
2020-06-29,93,1
2020-06-30,93,15.6
2020-07-01,93,1
2020-07-02,93,
2020-07-03,93,
2020-07-04,93,0
2020-07-05,93,
2020-07-06,93,
2020-07-07,93,
2020-07-08,93,
2020-07-09,93,
2020-07-10,93,3.1
2020-07-11,93,
2020-07-12,93,0.3
2020-07-13,93,16.9
2020-07-14,93,30.7
2020-07-15,93,0.3
2020-07-16,93,0.1
2020-07-17,93,0.4
2020-07-18,93,0
2020-07-19,93,11
2020-07-20,93,0.7
2020-07-21,93,
2020-07-22,93,17.9
2020-07-23,93,60.9
2020-07-24,93,13.3
2020-07-25,93,0.9
2020-07-26,93,0.1
2020-07-27,93,7.8
2020-07-28,93,0.6
2020-07-29,93,17.5
2020-07-30,93,
2020-07-31,93,0.1
2020-08-01,93,24.1
2020-08-02,93,55
2020-08-03,93,188.5
2020-08-04,93,146.9
2020-08-05,93,64.7
2020-08-06,93,85.7
2020-08-07,93,0.2
2020-08-08,93,30.5
2020-08-09,93,64.8
2020-08-10,93,5.8
2020-08-11,93,67.8
2020-08-12,93,
2020-08-13,93,0.4
2020-08-14,93,0.9
2020-08-15,93,12.2
2020-08-16,93,0.7
2020-08-17,93,
2020-08-18,93,
2020-08-19,93,
2020-08-20,93,
2020-08-21,93,1.7
2020-08-22,93,8
2020-08-23,93,0
2020-08-24,93,
2020-08-25,93,
2020-08-26,93,0.3
2020-08-27,93,5.9
2020-08-28,93,32.4
2020-08-29,93,10.9
2020-08-30,93,13.8
2020-08-31,93,
2020-09-01,93,0.1
2020-09-02,93,25.8
2020-09-03,93,43.1
2020-09-04,93,
2020-09-05,93,
2020-09-06,93,14.8
2020-09-07,93,24.9
2020-09-08,93,2.8
2020-09-09,93,13.6
2020-09-10,93,0.1
2020-09-11,93,1.4
2020-09-12,93,10.6
2020-09-13,93,
2020-09-14,93,
2020-09-15,93,
2020-09-16,93,15.8
2020-09-17,93,
2020-09-18,93,0.1
2020-09-19,93,
2020-09-20,93,
2020-09-21,93,
2020-09-22,93,
2020-09-23,93,
2020-09-24,93,
2020-09-25,93,
2020-09-26,93,
2020-09-27,93,
2020-09-28,93,
2020-09-29,93,
2020-09-30,93,
2020-10-01,93,
2020-10-02,93,0.2
2020-10-03,93,
2020-10-04,93,0.1
2020-10-05,93,
2020-10-06,93,
2020-10-07,93,
2020-10-08,93,
2020-10-09,93,
