강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 춘천
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,101,
2020-01-21,101,
2020-01-22,101,
2020-01-23,101,
2020-01-24,101,
2020-01-25,101,
2020-01-26,101,
2020-01-27,101,0
2020-01-28,101,0
2020-01-29,101,
2020-01-30,101,0
2020-01-31,101,
2020-02-01,101,
2020-02-02,101,
2020-02-03,101,
2020-02-04,101,0.8
2020-02-05,101,
2020-02-06,101,
2020-02-07,101,
2020-02-08,101,
2020-02-09,101,
2020-02-10,101,
2020-02-11,101,
2020-02-12,101,1.7
2020-02-13,101,
2020-02-14,101,
2020-02-15,101,1.5
2020-02-16,101,14.8
2020-02-17,101,
2020-02-18,101,
2020-02-19,101,
2020-02-20,101,
2020-02-21,101,2.7
2020-02-22,101,4.8
2020-02-23,101,
2020-02-24,101,
2020-02-25,101,24.8
2020-02-26,101,0.1
2020-02-27,101,
2020-02-28,101,3
2020-02-29,101,
2020-03-01,101,0
2020-03-02,101,0.1
2020-03-03,101,0
2020-03-04,101,0
2020-03-05,101,
2020-03-06,101,
2020-03-07,101,
2020-03-08,101,
2020-03-09,101,
2020-03-10,101,10.3
2020-03-11,101,
2020-03-12,101,
2020-03-13,101,
2020-03-14,101,
2020-03-15,101,0
2020-03-16,101,
2020-03-17,101,0.7
2020-03-18,101,
2020-03-19,101,0.1
2020-03-20,101,
2020-03-21,101,0.1
2020-03-22,101,
2020-03-23,101,
2020-03-24,101,
2020-03-25,101,
2020-03-26,101,
2020-03-27,101,2.5
2020-03-28,101,
2020-03-29,101,
2020-03-30,101,
2020-03-31,101,
2020-04-01,101,0.7
2020-04-02,101,
2020-04-03,101,
2020-04-04,101,
2020-04-05,101,
2020-04-06,101,
2020-04-07,101,
2020-04-08,101,
2020-04-09,101,
2020-04-10,101,
2020-04-11,101,
2020-04-12,101,0.3
2020-04-13,101,
2020-04-14,101,
2020-04-15,101,
2020-04-16,101,
2020-04-17,101,9.3
2020-04-18,101,0
2020-04-19,101,3.8
2020-04-20,101,0.2
2020-04-21,101,
2020-04-22,101,
2020-04-23,101,
2020-04-24,101,
2020-04-25,101,
2020-04-26,101,0
2020-04-27,101,0.1
2020-04-28,101,
2020-04-29,101,
2020-04-30,101,
2020-05-01,101,
2020-05-02,101,
2020-05-03,101,0
2020-05-04,101,
2020-05-05,101,
2020-05-06,101,
2020-05-07,101,
2020-05-08,101,5.9
2020-05-09,101,36.4
2020-05-10,101,
2020-05-11,101,0
2020-05-12,101,1.5
2020-05-13,101,
2020-05-14,101,
2020-05-15,101,13.1
2020-05-16,101,0.9
2020-05-17,101,
2020-05-18,101,26.3
2020-05-19,101,15.9
2020-05-20,101,
2020-05-21,101,
2020-05-22,101,0.2
2020-05-23,101,0.5
2020-05-24,101,14.9
2020-05-25,101,
2020-05-26,101,2.7
2020-05-27,101,
2020-05-28,101,
2020-05-29,101,
2020-05-30,101,
2020-05-31,101,0
2020-06-01,101,0
2020-06-02,101,0.4
2020-06-03,101,
2020-06-04,101,
2020-06-05,101,
2020-06-06,101,
2020-06-07,101,
2020-06-08,101,
2020-06-09,101,
2020-06-10,101,1.2
2020-06-11,101,0
2020-06-12,101,
2020-06-13,101,0
2020-06-14,101,2
2020-06-15,101,
2020-06-16,101,
2020-06-17,101,
2020-06-18,101,
2020-06-19,101,0.3
2020-06-20,101,
2020-06-21,101,
2020-06-22,101,
2020-06-23,101,
2020-06-24,101,46.3
2020-06-25,101,6.5
2020-06-26,101,0.1
2020-06-27,101,0
2020-06-28,101,
2020-06-29,101,1
2020-06-30,101,18
2020-07-01,101,1.1
2020-07-02,101,
2020-07-03,101,
2020-07-04,101,
2020-07-05,101,
2020-07-06,101,
2020-07-07,101,
2020-07-08,101,
2020-07-09,101,
2020-07-10,101,0.8
2020-07-11,101,
2020-07-12,101,0.1
2020-07-13,101,17.5
2020-07-14,101,30.8
2020-07-15,101,0
2020-07-16,101,
2020-07-17,101,
2020-07-18,101,
2020-07-19,101,11.2
2020-07-20,101,1
2020-07-21,101,
2020-07-22,101,
2020-07-23,101,63
2020-07-24,101,12.2
2020-07-25,101,1.1
2020-07-26,101,0.1
2020-07-27,101,8.6
2020-07-28,101,0.7
2020-07-29,101,15
2020-07-30,101,
2020-07-31,101,11.1
2020-08-01,101,25
2020-08-02,101,44.9
2020-08-03,101,178.7
2020-08-04,101,127.3
2020-08-05,101,38.5
2020-08-06,101,95.7
2020-08-07,101,0
2020-08-08,101,14.7
2020-08-09,101,65.4
2020-08-10,101,7.6
2020-08-11,101,79.4
2020-08-12,101,
2020-08-13,101,0.2
2020-08-14,101,0.3
2020-08-15,101,20.2
2020-08-16,101,0
2020-08-17,101,
2020-08-18,101,
2020-08-19,101,
2020-08-20,101,
2020-08-21,101,4.3
2020-08-22,101,14.7
2020-08-23,101,
2020-08-24,101,
2020-08-25,101,0
2020-08-26,101,5.7
2020-08-27,101,3.6
2020-08-28,101,27
2020-08-29,101,6.6
2020-08-30,101,13.9
2020-08-31,101,
2020-09-01,101,0
2020-09-02,101,24.8
2020-09-03,101,44.5
2020-09-04,101,
2020-09-05,101,
2020-09-06,101,13.8
2020-09-07,101,26.9
2020-09-08,101,1.7
2020-09-09,101,14.3
2020-09-10,101,0.2
2020-09-11,101,1.4
2020-09-12,101,11.6
2020-09-13,101,
2020-09-14,101,
2020-09-15,101,
2020-09-16,101,17.5
2020-09-17,101,
2020-09-18,101,0.4
2020-09-19,101,
2020-09-20,101,
2020-09-21,101,
2020-09-22,101,
2020-09-23,101,
2020-09-24,101,
2020-09-25,101,
2020-09-26,101,0.1
2020-09-27,101,
2020-09-28,101,
2020-09-29,101,
2020-09-30,101,
2020-10-01,101,
2020-10-02,101,0
2020-10-03,101,
2020-10-04,101,0.1
2020-10-05,101,
2020-10-06,101,
2020-10-07,101,
2020-10-08,101,
2020-10-09,101,
2020-10-10,101,
2020-10-11,101,
2020-10-12,101,
2020-10-13,101,
2020-10-14,101,
2020-10-15,101,
2020-10-16,101,
2020-10-17,101,
2020-10-18,101,
2020-10-19,101,
2020-10-20,101,
2020-10-21,101,
2020-10-22,101,0
2020-10-23,101,
2020-10-24,101,
2020-10-25,101,
2020-10-26,101,
2020-10-27,101,
2020-10-28,101,
2020-10-29,101,
2020-10-30,101,
2020-10-31,101,
2020-11-01,101,1.9
2020-11-02,101,0
2020-11-03,101,
2020-11-04,101,
2020-11-05,101,
2020-11-06,101,
2020-11-07,101,0
2020-11-08,101,
2020-11-09,101,
2020-11-10,101,
2020-11-11,101,
2020-11-12,101,
2020-11-13,101,
2020-11-14,101,
2020-11-15,101,
2020-11-16,101,
2020-11-17,101,0
2020-11-18,101,7.9
2020-11-19,101,72
2020-11-20,101,
2020-11-21,101,0
2020-11-22,101,2.4
2020-11-23,101,
2020-11-24,101,
2020-11-25,101,
2020-11-26,101,
2020-11-27,101,
2020-11-28,101,
2020-11-29,101,
2020-11-30,101,
2020-12-01,101,
2020-12-02,101,
2020-12-03,101,
2020-12-04,101,
2020-12-05,101,
2020-12-06,101,
2020-12-07,101,
2020-12-08,101,
2020-12-09,101,
2020-12-10,101,0
2020-12-11,101,
2020-12-12,101,
2020-12-13,101,4.5
2020-12-14,101,
2020-12-15,101,
2020-12-16,101,
2020-12-17,101,
2020-12-18,101,
2020-12-19,101,
2020-12-20,101,
2020-12-21,101,
2020-12-22,101,0.1
2020-12-23,101,
2020-12-24,101,0
2020-12-25,101,
2020-12-26,101,
2020-12-27,101,0
2020-12-28,101,0.3
2020-12-29,101,0
2020-12-30,101,
2020-12-31,101,
2021-01-01,101,
2021-01-02,101,
2021-01-03,101,
2021-01-04,101,0.6
2021-01-05,101,0.1
2021-01-06,101,1.6
2021-01-07,101,0.6
2021-01-08,101,
2021-01-09,101,
2021-01-10,101,
2021-01-11,101,
2021-01-12,101,1
2021-01-13,101,0.1
2021-01-14,101,
2021-01-15,101,0.4
2021-01-16,101,
2021-01-17,101,0.2
2021-01-18,101,3.5
2021-01-19,101,
2021-01-20,101,
2021-01-21,101,4.5
2021-01-22,101,0
2021-01-23,101,
2021-01-24,101,
2021-01-25,101,
2021-01-26,101,1.5
2021-01-27,101,
2021-01-28,101,2.2
2021-01-29,101,
2021-01-30,101,1.4
2021-01-31,101,
2021-02-01,101,1
2021-02-02,101,
2021-02-03,101,2.6
2021-02-04,101,2.3
2021-02-05,101,
2021-02-06,101,
2021-02-07,101,
2021-02-08,101,
2021-02-09,101,
2021-02-10,101,
2021-02-11,101,
2021-02-12,101,
2021-02-13,101,
2021-02-14,101,0
2021-02-15,101,0.7
2021-02-16,101,
2021-02-17,101,
2021-02-18,101,
2021-02-19,101,
2021-02-20,101,
2021-02-21,101,
2021-02-22,101,
2021-02-23,101,
2021-02-24,101,
2021-02-25,101,
2021-02-26,101,
2021-02-27,101,
2021-02-28,101,
2021-03-01,101,69.7
2021-03-02,101,2.2
2021-03-03,101,
2021-03-04,101,
2021-03-05,101,
2021-03-06,101,
2021-03-07,101,
2021-03-08,101,
2021-03-09,101,
2021-03-10,101,
2021-03-11,101,
2021-03-12,101,0.5
2021-03-13,101,
2021-03-14,101,
2021-03-15,101,
2021-03-16,101,0.2
2021-03-17,101,
2021-03-18,101,
2021-03-19,101,
2021-03-20,101,3
2021-03-21,101,0
2021-03-22,101,
2021-03-23,101,
2021-03-24,101,
2021-03-25,101,
2021-03-26,101,
2021-03-27,101,17.8
2021-03-28,101,10.6
2021-03-29,101,0.1
2021-03-30,101,
2021-03-31,101,
