강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 태백
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,216,
2020-01-21,216,
2020-01-22,216,
2020-01-23,216,0
2020-01-24,216,0.3
2020-01-25,216,0
2020-01-26,216,0.7
2020-01-27,216,19.2
2020-01-28,216,18.3
2020-01-29,216,0
2020-01-30,216,2.5
2020-01-31,216,0
2020-02-01,216,
2020-02-02,216,
2020-02-03,216,
2020-02-04,216,0
2020-02-05,216,0
2020-02-06,216,0
2020-02-07,216,
2020-02-08,216,0
2020-02-09,216,
2020-02-10,216,0
2020-02-11,216,
2020-02-12,216,2.8
2020-02-13,216,
2020-02-14,216,
2020-02-15,216,0.8
2020-02-16,216,5.6
2020-02-17,216,0
2020-02-18,216,
2020-02-19,216,
2020-02-20,216,
2020-02-21,216,
2020-02-22,216,0.1
2020-02-23,216,
2020-02-24,216,
2020-02-25,216,23.6
2020-02-26,216,2.7
2020-02-27,216,0.5
2020-02-28,216,0
2020-02-29,216,
2020-03-01,216,0
2020-03-02,216,0
2020-03-03,216,
2020-03-04,216,
2020-03-05,216,
2020-03-06,216,
2020-03-07,216,
2020-03-08,216,
2020-03-09,216,0
2020-03-10,216,15.6
2020-03-11,216,
2020-03-12,216,
2020-03-13,216,
2020-03-14,216,
2020-03-15,216,3.3
2020-03-16,216,0.8
2020-03-17,216,0.4
2020-03-18,216,
2020-03-19,216,0.4
2020-03-20,216,
2020-03-21,216,0
2020-03-22,216,0
2020-03-23,216,
2020-03-24,216,
2020-03-25,216,
2020-03-26,216,1.7
2020-03-27,216,2.6
2020-03-28,216,
2020-03-29,216,0
2020-03-30,216,
2020-03-31,216,
2020-04-01,216,0.1
2020-04-02,216,
2020-04-03,216,
2020-04-04,216,
2020-04-05,216,
2020-04-06,216,
2020-04-07,216,
2020-04-08,216,
2020-04-09,216,0
2020-04-10,216,0
2020-04-11,216,0.2
2020-04-12,216,23.3
2020-04-13,216,1.2
2020-04-14,216,
2020-04-15,216,
2020-04-16,216,
2020-04-17,216,5.3
2020-04-18,216,0
2020-04-19,216,14.4
2020-04-20,216,1.6
2020-04-21,216,
2020-04-22,216,
2020-04-23,216,
2020-04-24,216,
2020-04-25,216,0
2020-04-26,216,0.3
2020-04-27,216,0
2020-04-28,216,
2020-04-29,216,
2020-04-30,216,
2020-05-01,216,
2020-05-02,216,
2020-05-03,216,0
2020-05-04,216,
2020-05-05,216,4.5
2020-05-06,216,
2020-05-07,216,
2020-05-08,216,0.5
2020-05-09,216,26.6
2020-05-10,216,
2020-05-11,216,
2020-05-12,216,0.6
2020-05-13,216,
2020-05-14,216,
2020-05-15,216,14.7
2020-05-16,216,
2020-05-17,216,
2020-05-18,216,31.7
2020-05-19,216,18
2020-05-20,216,0
2020-05-21,216,
2020-05-22,216,1.5
2020-05-23,216,0
2020-05-24,216,4.1
2020-05-25,216,
2020-05-26,216,0
2020-05-27,216,
2020-05-28,216,0.2
2020-05-29,216,
