강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 홍천
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,212,
2020-01-21,212,
2020-01-22,212,
2020-01-23,212,
2020-01-24,212,
2020-01-25,212,
2020-01-26,212,
2020-01-27,212,0
2020-01-28,212,
2020-01-29,212,
2020-01-30,212,0
2020-01-31,212,
2020-02-01,212,
2020-02-02,212,
2020-02-03,212,
2020-02-04,212,0.5
2020-02-05,212,
2020-02-06,212,
2020-02-07,212,
2020-02-08,212,
2020-02-09,212,
2020-02-10,212,
2020-02-11,212,
2020-02-12,212,3.5
2020-02-13,212,0
2020-02-14,212,
2020-02-15,212,1
2020-02-16,212,11.5
2020-02-17,212,0.5
2020-02-18,212,
2020-02-19,212,
2020-02-20,212,
2020-02-21,212,1.5
2020-02-22,212,3.5
2020-02-23,212,
2020-02-24,212,
2020-02-25,212,21
2020-02-26,212,
2020-02-27,212,
2020-02-28,212,2
2020-02-29,212,
2020-03-01,212,0.1
2020-03-02,212,0
2020-03-03,212,0
2020-03-04,212,0
2020-03-05,212,
2020-03-06,212,
2020-03-07,212,
2020-03-08,212,
2020-03-09,212,0
2020-03-10,212,11.5
2020-03-11,212,
2020-03-12,212,
2020-03-13,212,0
2020-03-14,212,
2020-03-15,212,
2020-03-16,212,
2020-03-17,212,0
2020-03-18,212,
2020-03-19,212,0
2020-03-20,212,
2020-03-21,212,1
2020-03-22,212,
2020-03-23,212,
2020-03-24,212,
2020-03-25,212,
2020-03-26,212,0.4
2020-03-27,212,4
2020-03-28,212,
2020-03-29,212,
2020-03-30,212,
2020-03-31,212,
2020-04-01,212,0.6
2020-04-02,212,
2020-04-03,212,
2020-04-04,212,
2020-04-05,212,
2020-04-06,212,
2020-04-07,212,
2020-04-08,212,
2020-04-09,212,
2020-04-10,212,
2020-04-11,212,
2020-04-12,212,0.1
2020-04-13,212,
2020-04-14,212,
2020-04-15,212,
2020-04-16,212,
2020-04-17,212,3
2020-04-18,212,
2020-04-19,212,10
2020-04-20,212,0.5
2020-04-21,212,
2020-04-22,212,0
2020-04-23,212,
2020-04-24,212,
2020-04-25,212,
2020-04-26,212,
2020-04-27,212,0
2020-04-28,212,
2020-04-29,212,
2020-04-30,212,
2020-05-01,212,
2020-05-02,212,
2020-05-03,212,0
2020-05-04,212,
2020-05-05,212,
2020-05-06,212,
2020-05-07,212,
2020-05-08,212,1.7
2020-05-09,212,39.1
2020-05-10,212,
2020-05-11,212,0
2020-05-12,212,2.4
2020-05-13,212,
2020-05-14,212,
2020-05-15,212,14.6
2020-05-16,212,0.4
2020-05-17,212,
2020-05-18,212,32.5
2020-05-19,212,7.9
2020-05-20,212,
2020-05-21,212,
2020-05-22,212,0
2020-05-23,212,0
2020-05-24,212,6.1
2020-05-25,212,
2020-05-26,212,0.3
2020-05-27,212,
2020-05-28,212,0
2020-05-29,212,
2020-05-30,212,
2020-05-31,212,
2020-06-01,212,0.3
2020-06-02,212,0
2020-06-03,212,
2020-06-04,212,
2020-06-05,212,
2020-06-06,212,
2020-06-07,212,
2020-06-08,212,
2020-06-09,212,
2020-06-10,212,7.1
2020-06-11,212,0
2020-06-12,212,
2020-06-13,212,0
2020-06-14,212,4.3
2020-06-15,212,
2020-06-16,212,
2020-06-17,212,
2020-06-18,212,
2020-06-19,212,0
2020-06-20,212,
2020-06-21,212,
2020-06-22,212,
2020-06-23,212,
2020-06-24,212,36.4
2020-06-25,212,3.8
2020-06-26,212,0.2
2020-06-27,212,
2020-06-28,212,
2020-06-29,212,2.6
2020-06-30,212,35.4
2020-07-01,212,2.3
2020-07-02,212,
2020-07-03,212,
2020-07-04,212,0.3
2020-07-05,212,
2020-07-06,212,
2020-07-07,212,
2020-07-08,212,
2020-07-09,212,
2020-07-10,212,2
2020-07-11,212,0
2020-07-12,212,1.8
2020-07-13,212,27.7
2020-07-14,212,13.2
2020-07-15,212,
2020-07-16,212,22.3
2020-07-17,212,11.4
2020-07-18,212,
2020-07-19,212,5.3
2020-07-20,212,3.9
2020-07-21,212,
2020-07-22,212,0
2020-07-23,212,61.6
2020-07-24,212,7.8
2020-07-25,212,1.4
2020-07-26,212,6.8
2020-07-27,212,2.8
2020-07-28,212,3.2
2020-07-29,212,37.2
2020-07-30,212,2.9
2020-07-31,212,
2020-08-01,212,53.2
2020-08-02,212,24.2
2020-08-03,212,136.8
2020-08-04,212,30
2020-08-05,212,64.3
2020-08-06,212,78.9
2020-08-07,212,0
2020-08-08,212,28.2
2020-08-09,212,55.6
2020-08-10,212,10.4
2020-08-11,212,84.8
2020-08-12,212,
2020-08-13,212,0
2020-08-14,212,0.2
2020-08-15,212,78.9
2020-08-16,212,
2020-08-17,212,
2020-08-18,212,
2020-08-19,212,
2020-08-20,212,
2020-08-21,212,1.6
2020-08-22,212,19.5
2020-08-23,212,
2020-08-24,212,
2020-08-25,212,0
2020-08-26,212,0
2020-08-27,212,19
2020-08-28,212,20.2
2020-08-29,212,33
2020-08-30,212,6
2020-08-31,212,
2020-09-01,212,0.6
2020-09-02,212,23.8
2020-09-03,212,37.9
2020-09-04,212,3.9
2020-09-05,212,
2020-09-06,212,12.4
2020-09-07,212,27.1
2020-09-08,212,1.2
2020-09-09,212,10.6
2020-09-10,212,5.5
2020-09-11,212,1.6
2020-09-12,212,11.7
2020-09-13,212,
2020-09-14,212,
2020-09-15,212,
2020-09-16,212,0
2020-09-17,212,
2020-09-18,212,
2020-09-19,212,
2020-09-20,212,
2020-09-21,212,
2020-09-22,212,
2020-09-23,212,
2020-09-24,212,
2020-09-25,212,
2020-09-26,212,
2020-09-27,212,
2020-09-28,212,
2020-09-29,212,
2020-09-30,212,
2020-10-01,212,
2020-10-02,212,0
2020-10-03,212,1.6
2020-10-04,212,0.1
2020-10-05,212,
2020-10-06,212,
2020-10-07,212,
2020-10-08,212,
2020-10-09,212,
2020-10-10,212,
2020-10-11,212,
2020-10-12,212,
2020-10-13,212,
2020-10-14,212,
2020-10-15,212,
2020-10-16,212,
2020-10-17,212,
2020-10-18,212,
2020-10-19,212,
2020-10-20,212,
2020-10-21,212,
2020-10-22,212,
2020-10-23,212,
2020-10-24,212,
2020-10-25,212,
2020-10-26,212,
2020-10-27,212,
2020-10-28,212,
2020-10-29,212,
2020-10-30,212,
2020-10-31,212,
2020-11-01,212,0.8
2020-11-02,212,0.1
2020-11-03,212,0.4
2020-11-04,212,
2020-11-05,212,
2020-11-06,212,
2020-11-07,212,
2020-11-08,212,
2020-11-09,212,
2020-11-10,212,
2020-11-11,212,
2020-11-12,212,
2020-11-13,212,
2020-11-14,212,
2020-11-15,212,
2020-11-16,212,
2020-11-17,212,0
2020-11-18,212,6.6
2020-11-19,212,38.3
2020-11-20,212,0
2020-11-21,212,0
2020-11-22,212,4.4
2020-11-23,212,
2020-11-24,212,
2020-11-25,212,
2020-11-26,212,
2020-11-27,212,
2020-11-28,212,
2020-11-29,212,
2020-11-30,212,
2020-12-01,212,
2020-12-02,212,
2020-12-03,212,
2020-12-04,212,
2020-12-05,212,
2020-12-06,212,
2020-12-07,212,
2020-12-08,212,
2020-12-09,212,
2020-12-10,212,
2020-12-11,212,
2020-12-12,212,
2020-12-13,212,4.6
2020-12-14,212,
2020-12-15,212,
2020-12-16,212,
2020-12-17,212,
2020-12-18,212,0.2
2020-12-19,212,
2020-12-20,212,
2020-12-21,212,
2020-12-22,212,0
2020-12-23,212,
2020-12-24,212,0
2020-12-25,212,
2020-12-26,212,
2020-12-27,212,0
2020-12-28,212,0.3
2020-12-29,212,1
2020-12-30,212,
2020-12-31,212,
2021-01-01,212,
2021-01-02,212,
2021-01-03,212,
2021-01-04,212,0
2021-01-05,212,0.7
2021-01-06,212,1.2
2021-01-07,212,0.6
2021-01-08,212,
2021-01-09,212,
2021-01-10,212,
2021-01-11,212,
2021-01-12,212,0.8
2021-01-13,212,0
2021-01-14,212,
2021-01-15,212,0.1
2021-01-16,212,
2021-01-17,212,0.1
2021-01-18,212,2.2
2021-01-19,212,
2021-01-20,212,
2021-01-21,212,4.9
2021-01-22,212,0.2
2021-01-23,212,
2021-01-24,212,
2021-01-25,212,
2021-01-26,212,2.7
2021-01-27,212,
2021-01-28,212,0.9
2021-01-29,212,
2021-01-30,212,1.6
2021-01-31,212,
2021-02-01,212,1.8
2021-02-02,212,
2021-02-03,212,0.8
2021-02-04,212,0.7
2021-02-05,212,
2021-02-06,212,
2021-02-07,212,
2021-02-08,212,
2021-02-09,212,
2021-02-10,212,
2021-02-11,212,
2021-02-12,212,
2021-02-13,212,
2021-02-14,212,0
2021-02-15,212,1
2021-02-16,212,0
2021-02-17,212,
2021-02-18,212,
2021-02-19,212,
2021-02-20,212,
2021-02-21,212,
2021-02-22,212,
2021-02-23,212,
2021-02-24,212,
2021-02-25,212,
2021-02-26,212,
2021-02-27,212,
2021-02-28,212,
2021-03-01,212,82.7
2021-03-02,212,1.3
2021-03-03,212,
2021-03-04,212,
2021-03-05,212,
2021-03-06,212,
2021-03-07,212,
2021-03-08,212,
2021-03-09,212,
2021-03-10,212,
2021-03-11,212,
2021-03-12,212,1.9
2021-03-13,212,
2021-03-14,212,
2021-03-15,212,0
2021-03-16,212,0.5
2021-03-17,212,
2021-03-18,212,
2021-03-19,212,
2021-03-20,212,1.9
2021-03-21,212,0
2021-03-22,212,
2021-03-23,212,
2021-03-24,212,
2021-03-25,212,
2021-03-26,212,
2021-03-27,212,16.8
2021-03-28,212,6
2021-03-29,212,0
2021-03-30,212,
2021-03-31,212,
