date,tollgate,code,1jong,2jong,3jong,6jong,"1,2,3,6jong",total,city,province
20200101,°­¸ª,189,14968,141,558,401,16068,16159,Gangneung,Gangwon-do
20200101,±Ù´ö,704,4367,26,150,111,4654,4717,Samcheok,Gangwon-do
20200101,³²°­¸ª,584,5301,30,138,130,5599,5631,Gangneung,Gangwon-do
20200101,³²¾ç¾ç,284,6008,23,60,120,6211,6215,Yangyang,Gangwon-do
20200101,³²¿øÁÖ,218,9745,102,269,285,10401,10466,Wonju,Gangwon-do
20200101,³»ÃÌ,765,663,8,6,26,703,717,Hongcheon,Gangwon-do
20200101,´ë°ü·É,184,7380,58,207,220,7865,7886,Gangneung,Gangwon-do
20200101,µ¿ÇØ,583,6950,50,324,183,7507,7599,Donghae,Gangwon-do
20200101,µ¿È«Ãµ,554,9455,38,185,245,9923,9972,Hongcheon,Gangwon-do
20200101,¸Á»ó,582,5630,32,118,158,5938,5952,Donghae,Gangwon-do
20200101,¸é¿Â,183,6629,19,153,177,6978,6988,Pyeongchang,Gangwon-do
20200101,¹®¸·,178,3590,171,333,119,4213,4308,Wonju,Gangwon-do
20200101,ºÏ°­¸ª,580,10820,60,94,269,11243,11285,Gangneung,Gangwon-do
20200101,ºÏ¾ç¾ç,701,6627,27,110,174,6938,6951,Yangyang,Gangwon-do
20200101,ºÏ¿øÁÖ,217,930,36,10,37,1013,1034,Wonju,Gangwon-do
20200101,»ïÃ´,703,3168,31,155,93,3447,3487,Samcheok,Gangwon-do
20200101,¼Ó»ç,186,3479,8,84,74,3645,3651,Pyeongchang,Gangwon-do
20200101,¼ÓÃÊ,702,7495,42,85,156,7778,7790,Sokcho,Gangwon-do
20200101,½Å¸²,219,1833,18,18,67,1936,1957,Wonju,Gangwon-do
20200101,¾ç¾ç,510,6855,28,171,142,7196,7211,Yangyang,Gangwon-do
20200101,ÀÎÁ¦,766,2827,18,12,95,2952,2979,Inje,Gangwon-do
20200101,ÁøºÎ,187,5711,40,151,146,6048,6059,Pyeongchang,Gangwon-do
20200101,ÃáÃµ,174,14274,144,276,545,15239,15299,Chuncheon,Gangwon-do
20200101,ÆòÃ¢,185,2140,19,82,49,2290,2315,Pyeongchang,Gangwon-do
20200101,ÇÏÁ¶´ë,585,5736,36,120,155,6047,6055,Yangyang,Gangwon-do
20200101,È«Ãµ,179,12180,69,266,386,12901,12963,Hongcheon,Gangwon-do
20200102,°­¸ª,189,10927,258,622,406,12213,12607,Gangneung,Gangwon-do
20200102,±Ù´ö,704,2960,53,92,71,3176,3406,Samcheok,Gangwon-do
20200102,³²°­¸ª,584,2797,103,117,112,3129,3304,Gangneung,Gangwon-do
20200102,³²¾ç¾ç,284,2051,28,21,59,2159,2192,Yangyang,Gangwon-do
20200102,³²¿øÁÖ,218,10191,238,426,374,11229,11528,Wonju,Gangwon-do
20200102,³»ÃÌ,765,480,14,7,25,526,543,Hongcheon,Gangwon-do
20200102,´ë°ü·É,184,4713,79,176,151,5119,5149,Gangneung,Gangwon-do
20200102,µ¿ÇØ,583,5174,111,309,242,5836,6282,Donghae,Gangwon-do
20200102,µ¿È«Ãµ,554,4411,76,145,161,4793,4923,Hongcheon,Gangwon-do
20200102,¸Á»ó,582,2548,42,72,121,2783,2839,Donghae,Gangwon-do
20200102,¸é¿Â,183,1779,21,43,39,1882,1917,Pyeongchang,Gangwon-do
20200102,¹®¸·,178,3411,306,514,147,4378,4819,Wonju,Gangwon-do
20200102,ºÏ°­¸ª,580,5561,100,89,174,5924,6052,Gangneung,Gangwon-do
20200102,ºÏ¾ç¾ç,701,3771,42,87,114,4014,4078,Yangyang,Gangwon-do
20200102,ºÏ¿øÁÖ,217,961,71,53,48,1133,1193,Wonju,Gangwon-do
20200102,»ïÃ´,703,2545,61,155,109,2870,2969,Samcheok,Gangwon-do
20200102,¼Ó»ç,186,726,9,10,13,758,783,Pyeongchang,Gangwon-do
20200102,¼ÓÃÊ,702,5501,112,143,113,5869,6032,Sokcho,Gangwon-do
20200102,½Å¸²,219,1593,42,35,53,1723,1881,Wonju,Gangwon-do
20200102,¾ç¾ç,510,3437,51,111,94,3693,3763,Yangyang,Gangwon-do
20200102,ÀÎÁ¦,766,1166,23,25,62,1276,1293,Inje,Gangwon-do
20200102,ÁøºÎ,187,2591,53,116,69,2829,2896,Pyeongchang,Gangwon-do
20200102,ÃáÃµ,174,12785,330,450,595,14160,14417,Chuncheon,Gangwon-do
20200102,ÆòÃ¢,185,1605,32,134,45,1816,1908,Pyeongchang,Gangwon-do
20200102,ÇÏÁ¶´ë,585,2310,41,76,73,2500,2534,Yangyang,Gangwon-do
20200102,È«Ãµ,179,5569,146,261,259,6235,6543,Hongcheon,Gangwon-do
20200103,°­¸ª,189,10711,273,692,374,12050,12470,Gangneung,Gangwon-do
20200103,±Ù´ö,704,3249,57,93,82,3481,3723,Samcheok,Gangwon-do
20200103,³²°­¸ª,584,2950,130,145,129,3354,3613,Gangneung,Gangwon-do
20200103,³²¾ç¾ç,284,1928,45,31,52,2056,2111,Yangyang,Gangwon-do
20200103,³²¿øÁÖ,218,11433,255,452,412,12552,12893,Wonju,Gangwon-do
20200103,³»ÃÌ,765,491,11,19,28,549,563,Hongcheon,Gangwon-do
20200103,´ë°ü·É,184,4660,96,205,141,5102,5155,Gangneung,Gangwon-do
20200103,µ¿ÇØ,583,5430,165,352,265,6212,6774,Donghae,Gangwon-do
20200103,µ¿È«Ãµ,554,5014,84,173,192,5463,5587,Hongcheon,Gangwon-do
20200103,¸Á»ó,582,2439,46,85,105,2675,2788,Donghae,Gangwon-do
20200103,¸é¿Â,183,1921,24,79,48,2072,2130,Pyeongchang,Gangwon-do
20200103,¹®¸·,178,3900,342,585,178,5005,5586,Wonju,Gangwon-do
20200103,ºÏ°­¸ª,580,5387,100,118,162,5767,5936,Gangneung,Gangwon-do
20200103,ºÏ¾ç¾ç,701,3425,66,99,116,3706,3777,Yangyang,Gangwon-do
20200103,ºÏ¿øÁÖ,217,953,68,31,51,1103,1191,Wonju,Gangwon-do
20200103,»ïÃ´,703,2853,78,175,107,3213,3329,Samcheok,Gangwon-do
20200103,¼Ó»ç,186,732,13,20,17,782,811,Pyeongchang,Gangwon-do
20200103,¼ÓÃÊ,702,5015,116,164,127,5422,5631,Sokcho,Gangwon-do
20200103,½Å¸²,219,1655,56,40,59,1810,2003,Wonju,Gangwon-do
20200103,¾ç¾ç,510,3064,50,124,96,3334,3421,Yangyang,Gangwon-do
20200103,ÀÎÁ¦,766,1406,25,15,90,1536,1554,Inje,Gangwon-do
20200103,ÁøºÎ,187,2666,55,125,74,2920,2993,Pyeongchang,Gangwon-do
20200103,ÃáÃµ,174,14028,357,461,658,15504,15888,Chuncheon,Gangwon-do
20200103,ÆòÃ¢,185,1693,44,145,66,1948,2057,Pyeongchang,Gangwon-do
20200103,ÇÏÁ¶´ë,585,2272,48,79,74,2473,2517,Yangyang,Gangwon-do
20200103,È«Ãµ,179,6240,170,263,324,6997,7406,Hongcheon,Gangwon-do
20200104,°­¸ª,189,13418,196,682,408,14704,14950,Gangneung,Gangwon-do
20200104,±Ù´ö,704,3478,56,103,80,3717,3855,Samcheok,Gangwon-do
20200104,³²°­¸ª,584,3259,73,96,98,3526,3680,Gangneung,Gangwon-do
20200104,³²¾ç¾ç,284,3015,31,35,59,3140,3180,Yangyang,Gangwon-do
20200104,³²¿øÁÖ,218,12432,146,365,365,13308,13512,Wonju,Gangwon-do
20200104,³»ÃÌ,765,474,7,4,12,497,511,Hongcheon,Gangwon-do
20200104,´ë°ü·É,184,6009,80,227,154,6470,6511,Gangneung,Gangwon-do
20200104,µ¿ÇØ,583,5654,80,332,210,6276,6829,Donghae,Gangwon-do
20200104,µ¿È«Ãµ,554,6178,49,146,166,6539,6643,Hongcheon,Gangwon-do
20200104,¸Á»ó,582,3140,37,89,99,3365,3448,Donghae,Gangwon-do
20200104,¸é¿Â,183,2378,22,76,58,2534,2557,Pyeongchang,Gangwon-do
20200104,¹®¸·,178,3904,196,450,114,4664,4998,Wonju,Gangwon-do
20200104,ºÏ°­¸ª,580,7138,76,97,174,7485,7601,Gangneung,Gangwon-do
20200104,ºÏ¾ç¾ç,701,4678,37,84,119,4918,4963,Yangyang,Gangwon-do
20200104,ºÏ¿øÁÖ,217,982,49,26,39,1096,1156,Wonju,Gangwon-do
20200104,»ïÃ´,703,2931,49,146,79,3205,3309,Samcheok,Gangwon-do
20200104,¼Ó»ç,186,1080,6,30,33,1149,1158,Pyeongchang,Gangwon-do
20200104,¼ÓÃÊ,702,6593,82,149,138,6962,7104,Sokcho,Gangwon-do
