기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 강릉
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,105,3.7,1.1,7.5
2020-01-21,105,2.8,-1.9,7.8
2020-01-22,105,7.1,4.7,9.8
2020-01-23,105,7.2,3.4,12.5
2020-01-24,105,4.4,2.5,7.2
2020-01-25,105,5.7,2.1,10.1
2020-01-26,105,5.2,3.5,6.4
2020-01-27,105,6.6,5.8,7.3
2020-01-28,105,6.7,5.4,8.2
2020-01-29,105,5.6,4.6,7.9
2020-01-30,105,2.6,1,5.9
2020-01-31,105,3.2,0.1,8.1
2020-02-01,105,4.8,0.4,9.1
2020-02-02,105,5,1.4,9.8
2020-02-03,105,3.2,0.7,6.8
2020-02-04,105,2.7,-1.8,6.9
2020-02-05,105,-2.1,-5.3,3.8
2020-02-06,105,-2.6,-7.1,2.1
2020-02-07,105,2.3,-3.7,7
2020-02-08,105,1.9,-0.3,5.6
2020-02-09,105,2.6,-2.3,7.5
2020-02-10,105,4.5,0.6,9.4
2020-02-11,105,8.1,-0.2,16.6
2020-02-12,105,9.2,5.7,11.1
2020-02-13,105,11.5,6.8,16.7
2020-02-14,105,10.9,7.4,15.7
2020-02-15,105,10.6,6.5,14.8
2020-02-16,105,3.1,-0.9,6.5
2020-02-17,105,-2.1,-4.4,0.4
2020-02-18,105,0.6,-5.2,7.3
2020-02-19,105,4.7,0.7,9.4
2020-02-20,105,6.6,3.1,12
2020-02-21,105,8.8,4,15.7
2020-02-22,105,6.2,2.7,8.8
2020-02-23,105,6,0.9,12.3
2020-02-24,105,11.3,6.6,15.8
2020-02-25,105,6.5,3.1,11.9
2020-02-26,105,4,1.6,5.9
2020-02-27,105,3.9,1.1,8.7
2020-02-28,105,6.6,-0.1,10
2020-02-29,105,7.4,4.2,10
2020-03-01,105,8,2.4,13.4
2020-03-02,105,5.9,3.1,8.8
2020-03-03,105,6.8,1.2,11.1
2020-03-04,105,5.5,1.7,9.4
2020-03-05,105,3.4,-0.3,8.3
2020-03-06,105,6.1,0.9,11.4
2020-03-07,105,6.9,2,12.5
2020-03-08,105,8.1,2.4,14.3
2020-03-09,105,10.1,2.8,16.2
2020-03-10,105,8.1,6,10.6
2020-03-11,105,6.6,3.1,10.8
2020-03-12,105,11.3,5.4,16.4
2020-03-13,105,8,1.5,14.2
2020-03-14,105,6.5,0.7,12.6
2020-03-15,105,4.6,0.6,10.4
2020-03-16,105,5.6,0.2,10.8
2020-03-17,105,8.2,4.8,11.6
2020-03-18,105,13.7,5.6,19.1
2020-03-19,105,12.2,6.5,18.6
2020-03-20,105,11.5,5.7,16.7
2020-03-21,105,14,10.8,21
2020-03-22,105,9.8,5.7,13.1
2020-03-23,105,8.9,4.5,14.2
2020-03-24,105,8.6,3.3,14.2
2020-03-25,105,10.9,2.7,17.7
2020-03-26,105,16.3,9.7,21.7
2020-03-27,105,9.9,6.2,17.7
