기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대관령
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,100,-3.7,-6.1,-0.7
2020-01-21,100,-4.3,-14.2,3.5
2020-01-22,100,-1.3,-3.8,2.6
2020-01-23,100,0.3,-6.1,9.3
2020-01-24,100,-2.3,-8.2,2.5
2020-01-25,100,-0.1,-3.1,4.6
2020-01-26,100,-1.1,-2.8,1.3
2020-01-27,100,-0.6,-1.7,0.3
2020-01-28,100,0.2,-0.7,1.2
2020-01-29,100,-0.4,-1.3,1.2
2020-01-30,100,-2.4,-5,-0.6
2020-01-31,100,-3.7,-11.2,2.4
2020-02-01,100,-2.9,-6.8,0.2
2020-02-02,100,-3.9,-11.2,2.4
2020-02-03,100,-5,-9.7,-1.7
2020-02-04,100,-7.5,-18.6,-1.3
2020-02-05,100,-11.5,-18.9,-4.7
2020-02-06,100,-12.8,-24,-4
2020-02-07,100,-6.2,-12.2,-1.7
2020-02-08,100,-5.3,-9.7,-0.9
2020-02-09,100,-7.2,-16.8,-0.7
2020-02-10,100,-2.6,-8.4,3.6
2020-02-11,100,-0.9,-12.7,8.8
2020-02-12,100,3.1,0.1,6.3
2020-02-13,100,3.3,-2.2,8
2020-02-14,100,2.7,-3.6,10.3
2020-02-15,100,4,-0.2,8.8
2020-02-16,100,-3.5,-9,3
2020-02-17,100,-10.1,-12.4,-8.2
2020-02-18,100,-8.3,-13.9,-1.4
2020-02-19,100,-2.4,-10.7,4.4
2020-02-20,100,0.2,-7.3,7.2
2020-02-21,100,2.1,-3,7.5
2020-02-22,100,-1,-5,2.2
2020-02-23,100,-2.3,-7.3,2.4
2020-02-24,100,2.9,-3,8.3
2020-02-25,100,0.5,-0.4,3
2020-02-26,100,-0.8,-2.5,1.2
2020-02-27,100,-2.5,-6.5,2.1
2020-02-28,100,-1.3,-7.8,2
2020-02-29,100,1,-3.5,4.9
2020-03-01,100,0.4,-7.2,6.9
2020-03-02,100,-1,-3.6,2.9
2020-03-03,100,1,-6.1,6.4
2020-03-04,100,-2.5,-6.1,1.7
2020-03-05,100,-2.8,-8.2,2.9
2020-03-06,100,-0.8,-8.9,6.7
2020-03-07,100,-0.1,-6.9,6.6
2020-03-08,100,1.5,-6.4,9.6
2020-03-09,100,3.8,-4.9,12
2020-03-10,100,2.8,0.8,4.6
2020-03-11,100,-0.8,-4.1,3.2
2020-03-12,100,3.2,-3.8,9
2020-03-13,100,1.2,-5.3,8
2020-03-14,100,-1,-8.7,4.5
2020-03-15,100,-1.6,-4.7,3.7
2020-03-16,100,-1.2,-8.9,3.7
2020-03-17,100,0.3,-3.1,3.4
2020-03-18,100,5.2,-3,11.5
2020-03-19,100,4.3,-1.7,10.6
2020-03-20,100,3.8,-1.3,9.3
2020-03-21,100,9,3.5,16.3
2020-03-22,100,4.3,-2.1,8.9
2020-03-23,100,2.3,-3.8,11.2
2020-03-24,100,1.8,-5.5,9.4
2020-03-25,100,6.8,-3.6,17.2
2020-03-26,100,10.8,0,20.5
2020-03-27,100,5.4,1.1,10.8
2020-03-28,100,0.5,-4.4,4.2
2020-03-29,100,0.1,-6,6.4
