기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 동해
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,106,3.7,0,6.9
2020-01-21,106,2.4,-1.5,6
2020-01-22,106,6.1,1.9,8.9
2020-01-23,106,6.6,3,10.5
2020-01-24,106,5.2,3.4,7.6
2020-01-25,106,5.8,2.3,9.6
2020-01-26,106,5.7,3.4,7
2020-01-27,106,6.6,5.8,7.6
2020-01-28,106,6.8,5.6,7.7
2020-01-29,106,5.7,4.3,7.2
2020-01-30,106,3.4,1.4,6
2020-01-31,106,2.5,-0.6,6.2
2020-02-01,106,4.2,0.2,8.7
2020-02-02,106,4.4,0.6,8.9
2020-02-03,106,3.1,-0.1,6.8
2020-02-04,106,2.7,-2.5,7.1
2020-02-05,106,-1.7,-4.1,3.4
2020-02-06,106,-2.3,-6.2,2.7
2020-02-07,106,2.3,-3.9,7.2
2020-02-08,106,2,-0.8,5.3
2020-02-09,106,1.7,-4.5,6.3
2020-02-10,106,3.8,0.3,6.7
2020-02-11,106,6.9,-0.2,12.7
2020-02-12,106,8.1,5.9,10.3
2020-02-13,106,10.5,6.9,15.4
2020-02-14,106,9.3,5.4,12.7
2020-02-15,106,10,6.8,12.9
2020-02-16,106,3.6,-0.3,7.4
2020-02-17,106,-1.3,-3.6,1.6
2020-02-18,106,0.4,-5,4.8
2020-02-19,106,3.8,-0.4,7.6
2020-02-20,106,5.2,1.2,10
2020-02-21,106,8.9,1.8,14.2
2020-02-22,106,6.9,3.4,10.7
2020-02-23,106,5.7,1.4,10.8
2020-02-24,106,9.5,3.7,14
2020-02-25,106,6.2,3.9,11.6
2020-02-26,106,4,2.1,6.8
2020-02-27,106,3.4,1.2,7.1
2020-02-28,106,5,-0.2,8.5
2020-02-29,106,7.2,3.1,9.5
2020-03-01,106,7.7,2.1,11.1
2020-03-02,106,6,3.2,9.5
2020-03-03,106,6.2,1.9,9.1
2020-03-04,106,5.7,1.9,9.6
2020-03-05,106,3.2,-0.8,6.3
2020-03-06,106,4.6,-0.8,9.3
2020-03-07,106,6.2,1.4,10.7
2020-03-08,106,7.2,2.1,12.4
2020-03-09,106,9.3,3.2,13.2
2020-03-10,106,7.9,4.7,10.3
2020-03-11,106,6.9,3.6,10.8
2020-03-12,106,10.2,4.3,16
2020-03-13,106,7.5,1.6,11.9
2020-03-14,106,5.6,0.3,10.6
2020-03-15,106,4.6,0.3,10.2
2020-03-16,106,4.3,0.3,7.5
2020-03-17,106,7.9,2.4,11.4
2020-03-18,106,11,4.8,15.2
2020-03-19,106,12.1,5,19.4
2020-03-20,106,10.8,6.3,15.3
2020-03-21,106,12.6,9.8,16.2
2020-03-22,106,8.9,4.4,11.8
2020-03-23,106,7.8,2.8,12.6
2020-03-24,106,7.9,2.2,12.7
2020-03-25,106,10.4,4.1,14.7
2020-03-26,106,13.9,9.1,18.4
2020-03-27,106,9.3,5.9,14.3
2020-03-28,106,6.3,3.2,8.1
2020-03-29,106,5.9,1.8,9.5
2020-03-30,106,8.4,2.4,13.4
2020-03-31,106,9.9,4.4,14
2020-04-01,106,8.9,4.8,14.2
2020-04-02,106,10.3,2.8,14.7
2020-04-03,106,13.6,9.3,18.2
2020-04-04,106,9,5.6,13.9
2020-04-05,106,6.7,1.5,10.6
2020-04-06,106,9.7,2.9,13.5
2020-04-07,106,12.6,9.9,18.3
2020-04-08,106,8,4.5,10.6
2020-04-09,106,7.9,2.2,11.8
2020-04-10,106,8.1,3,12.5
2020-04-11,106,10.3,5.3,14.3
2020-04-12,106,7.9,5.2,10.1
2020-04-13,106,9,5.7,12.9
2020-04-14,106,14.9,6.2,21.1
2020-04-15,106,13.2,9.4,19.7
2020-04-16,106,10.3,7.4,13.8
2020-04-17,106,11.2,6.9,16.5
2020-04-18,106,10.3,7.2,14.1
2020-04-19,106,9.9,6.8,12.8
2020-04-20,106,11.7,8.1,16.5
2020-04-21,106,8.9,5.3,14.3
2020-04-22,106,7.9,4.2,12.6
2020-04-23,106,8.5,5.1,15
2020-04-24,106,12.1,6.3,17.1
2020-04-25,106,16.2,10.2,22.8
2020-04-26,106,9.6,6.2,12.7
2020-04-27,106,9.6,5.2,13.6
2020-04-28,106,15.8,7.4,21.4
2020-04-29,106,16.4,13.1,20
2020-04-30,106,19.5,12.3,25.3
2020-05-01,106,23.7,15.1,30.9
2020-05-02,106,22.4,18.3,28.7
2020-05-03,106,18.7,15.5,23.5
2020-05-04,106,14.6,11.6,23.6
2020-05-05,106,13.4,11.5,15.3
2020-05-06,106,14.1,10.3,16.5
2020-05-07,106,12.9,7.5,17.5
2020-05-08,106,13.7,8.2,17.3
2020-05-09,106,13.7,11.6,16.6
2020-05-10,106,18.9,13.9,23.1
2020-05-11,106,20.5,16,25.5
2020-05-12,106,18.3,14.9,22.6
2020-05-13,106,19.7,13.8,24.2
2020-05-14,106,20.8,17.7,25.6
2020-05-15,106,15.9,13.4,20.8
2020-05-16,106,14.3,12.6,15.9
2020-05-17,106,15.4,14.2,17.4
2020-05-18,106,14.2,13.7,15.3
2020-05-19,106,12.6,9.6,18.7
2020-05-20,106,10.7,9.4,13.6
2020-05-21,106,12.2,9.5,14.5
2020-05-22,106,12.7,10.4,15.2
2020-05-23,106,14,11.6,17.2
2020-05-24,106,16.7,13,25.3
2020-05-25,106,18.9,15.9,23.3
2020-05-26,106,17.7,13.3,22.5
2020-05-27,106,17,12.6,20.1
2020-05-28,106,17.3,12.7,21.3
2020-05-29,106,16.4,12,21
2020-05-30,106,16.7,11.3,20.8
2020-05-31,106,17.1,13.7,20
2020-06-01,106,22.7,16.5,26.7
2020-06-02,106,20.3,15.5,25.3
2020-06-03,106,20.1,15,25.6
2020-06-04,106,25.2,20.7,30.3
2020-06-05,106,18,16,25.2
2020-06-06,106,17.6,15.1,20.7
2020-06-07,106,18.4,14.5,22.3
2020-06-08,106,21.1,16.3,24.7
2020-06-09,106,22.8,19.3,30.1
2020-06-10,106,22.6,18.6,29.6
2020-06-11,106,20.8,18,25
2020-06-12,106,18.5,16.5,20.5
2020-06-13,106,21.8,19.4,27.4
2020-06-14,106,25.1,19.4,31.5
2020-06-15,106,25.8,20.3,31.2
2020-06-16,106,21.6,18.7,24.8
2020-06-17,106,21.4,18,25.5
2020-06-18,106,20.6,18.9,24.5
2020-06-19,106,18.5,17.6,19.7
2020-06-20,106,19.1,15.9,21.8
2020-06-21,106,19.4,17.1,21.9
2020-06-22,106,20.2,16.6,26.9
2020-06-23,106,19.6,16.9,22.1
2020-06-24,106,19.2,17.9,21.9
2020-06-25,106,19.3,17.9,21.3
2020-06-26,106,23.5,18,28.8
2020-06-27,106,22.4,19.7,28.1
2020-06-28,106,20.9,18.1,23.6
2020-06-29,106,20.2,18.1,22.5
2020-06-30,106,18.4,16.3,20.2
2020-07-01,106,18.3,15.8,22.1
2020-07-02,106,21.1,15.9,26.9
2020-07-03,106,19.3,17.4,21.5
2020-07-04,106,19,16.9,22
2020-07-05,106,21.7,17.4,27
2020-07-06,106,20.9,19,24
2020-07-07,106,21.2,19.1,24.2
2020-07-08,106,20.9,19.2,25.3
2020-07-09,106,20.7,19.5,23
2020-07-10,106,20.4,19.6,22.2
2020-07-11,106,19.6,18,21.5
2020-07-12,106,18.5,17.2,20.4
2020-07-13,106,17.4,16.6,18.1
2020-07-14,106,17.3,16.3,19.1
2020-07-15,106,17.6,14.9,20.4
2020-07-16,106,18.1,14,21.8
2020-07-17,106,19,15.1,22.5
2020-07-18,106,19,15.6,23.3
2020-07-19,106,20.1,16.9,24.6
2020-07-20,106,24.3,21.1,28.3
2020-07-21,106,24.4,21.4,27.5
2020-07-22,106,21.5,19.9,24
2020-07-23,106,19.7,18.1,21.6
2020-07-24,106,19.6,17.1,21.1
2020-07-25,106,19.9,19.6,20.3
2020-07-26,106,20.1,18.7,22.1
2020-07-27,106,19.7,19.1,21.1
2020-07-28,106,19.8,19.3,21
2020-07-29,106,20.1,19.3,22.1
2020-07-30,106,20.6,19.9,22.4
2020-07-31,106,25.1,20.2,30.1
2020-08-01,106,25,22.8,28.4
2020-08-02,106,25.8,22,31.2
2020-08-03,106,25.8,22.8,28.8
2020-08-04,106,24.4,21.9,28.2
2020-08-05,106,22.1,20.9,23.3
2020-08-06,106,22.2,20.2,27
2020-08-07,106,22.7,20.1,26.8
2020-08-08,106,20.2,19.6,21
2020-08-09,106,21.1,19.4,23.7
2020-08-10,106,22.2,20.7,26.8
2020-08-11,106,22.4,20.4,27.6
2020-08-12,106,25.4,22,29.5
2020-08-13,106,27,23.4,32.3
2020-08-14,106,29.7,25.8,32.9
2020-08-15,106,25.5,23.8,30.1
2020-08-16,106,27.5,23.5,31.4
2020-08-17,106,26.7,23.3,32.3
2020-08-18,106,26.9,22.8,31
2020-08-19,106,26.3,23.1,30.2
2020-08-20,106,24.1,21.6,26.9
2020-08-21,106,22.2,20.6,24.1
2020-08-22,106,21.9,20.2,24.3
2020-08-23,106,22.2,19.7,26.4
2020-08-24,106,23.8,19.2,28.1
2020-08-25,106,26.2,22.1,31.2
2020-08-26,106,24.1,22.5,25.8
2020-08-27,106,26.3,23.5,29.5
2020-08-28,106,26.3,22.3,30.3
2020-08-29,106,25.6,23.7,29.7
2020-08-30,106,22.9,21.6,24.5
2020-08-31,106,21.9,20.7,23.3
2020-09-01,106,22.9,20,25.5
2020-09-02,106,22.9,22,23.9
2020-09-03,106,24.8,22,27.6
2020-09-04,106,23.1,18,28.2
2020-09-05,106,19.6,17.3,23.1
2020-09-06,106,17.2,15.5,19.2
2020-09-07,106,21.6,15.7,26.2
2020-09-08,106,24.2,20.5,27.1
2020-09-09,106,21.9,19.5,25.4
2020-09-10,106,21,17.1,25.3
2020-09-11,106,19.6,17.8,21.8
2020-09-12,106,18,15.9,19.6
2020-09-13,106,16.4,15,19
2020-09-14,106,19.3,14.5,24.2
2020-09-15,106,19.5,16.1,22.8
2020-09-16,106,20,17.8,24.2
2020-09-17,106,19.7,17.2,21.4
2020-09-18,106,20.4,16.4,24.2
2020-09-19,106,19.1,13.3,24.7
2020-09-20,106,17.6,13.6,21.8
2020-09-21,106,16.3,11.5,20
2020-09-22,106,16.1,12,19.8
2020-09-23,106,17.6,15,20
2020-09-24,106,17.9,15.9,19.5
2020-09-25,106,17.9,16.8,19.7
2020-09-26,106,17.4,16,19.5
2020-09-27,106,16.6,12.8,19.2
2020-09-28,106,15.6,10.5,20.4
2020-09-29,106,17.1,12.5,22
