기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 북강릉
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,104,2.2,-2.4,6.4
2020-01-21,104,1.7,-2.9,5.8
2020-01-22,104,5.5,1.9,9.5
2020-01-23,104,6.3,2.5,10.5
2020-01-24,104,3.9,2.5,6.5
2020-01-25,104,4.7,1.5,8.5
2020-01-26,104,4.9,3.5,6
2020-01-27,104,6.1,5.3,6.8
2020-01-28,104,6.1,4.4,7.9
2020-01-29,104,5.3,3.8,7.6
2020-01-30,104,2.5,0.4,5.6
2020-01-31,104,2.5,-0.9,6.8
2020-02-01,104,3.8,-1,8.9
2020-02-02,104,3.6,-0.3,8.6
2020-02-03,104,2,-1.3,6
2020-02-04,104,2,-3,6.9
2020-02-05,104,-2.8,-6.5,3.3
2020-02-06,104,-3.3,-8,1.2
2020-02-07,104,1.2,-4.7,6.3
2020-02-08,104,0.9,-3,5.2
2020-02-09,104,1.5,-3.7,6.4
2020-02-10,104,3.6,-0.8,8
2020-02-11,104,7.8,-0.5,13.8
2020-02-12,104,8.5,6.6,11
2020-02-13,104,10.2,5,16.6
2020-02-14,104,10,6.1,13.7
2020-02-15,104,9.7,5.8,13.5
2020-02-16,104,2.5,-1.4,6.5
2020-02-17,104,-2.3,-4.6,-0.2
2020-02-18,104,-0.5,-6.1,6
2020-02-19,104,3.2,-1.9,7.8
2020-02-20,104,5.6,1.2,10.1
2020-02-21,104,9.4,3.5,14.3
2020-02-22,104,6.2,2.3,9.4
2020-02-23,104,5.2,-2.4,11.3
2020-02-24,104,9,2.7,13.3
2020-02-25,104,5.9,3.6,11
2020-02-26,104,3.2,0.4,5.2
2020-02-27,104,2.8,-0.1,7.9
2020-02-28,104,5.6,-0.6,9.4
2020-02-29,104,5.8,2.4,9.5
2020-03-01,104,7.5,1.5,13.1
2020-03-02,104,5.1,2.6,8.1
2020-03-03,104,6.2,-0.1,10.3
2020-03-04,104,5,1.1,9.3
2020-03-05,104,2.3,-1.6,6.9
2020-03-06,104,4.8,-0.8,9.8
2020-03-07,104,6.4,1.2,11.1
2020-03-08,104,7.4,2,13
2020-03-09,104,9.5,3.8,15
2020-03-10,104,7.2,4.7,9.6
2020-03-11,104,6,0.2,10.6
2020-03-12,104,10.6,2.8,15.9
2020-03-13,104,7.5,1.9,13.7
2020-03-14,104,5.3,-1.3,11.3
2020-03-15,104,4.3,0.1,9
2020-03-16,104,4.7,-0.2,10
2020-03-17,104,7.8,1,12.3
2020-03-18,104,13.2,4.6,18.7
2020-03-19,104,11.9,7.1,17.7
2020-03-20,104,11.6,4.6,17.1
2020-03-21,104,12.2,9.4,16.1
2020-03-22,104,8.6,3.7,11.9
2020-03-23,104,8.3,3.3,12.9
2020-03-24,104,7.5,2,12.6
2020-03-25,104,10.6,4,15.4
2020-03-26,104,15,9.2,19.4
2020-03-27,104,8.9,5.3,16.1
2020-03-28,104,5.8,2.3,8.5
2020-03-29,104,6.2,1.2,10.3
2020-03-30,104,8.4,2.4,13.3
2020-03-31,104,11,5.1,16.8
2020-04-01,104,8.5,4,13.1
2020-04-02,104,10.6,2.2,17.1
2020-04-03,104,13.7,6.7,19.1
2020-04-04,104,8.3,3.7,12.4
2020-04-05,104,6.4,0.3,11
2020-04-06,104,10.7,5,13.9
2020-04-07,104,12.1,8.8,18.3
2020-04-08,104,7.2,2.8,10.6
2020-04-09,104,7.3,2.2,11.5
2020-04-10,104,7.9,3.1,12.5
2020-04-11,104,10.1,4.1,15
2020-04-12,104,7.5,4.8,10
2020-04-13,104,8.9,4,13.4
2020-04-14,104,16.1,7.9,23.3
2020-04-15,104,12.6,7.6,20.2
2020-04-16,104,9.7,6.8,13.2
2020-04-17,104,10.5,6.9,18.5
2020-04-18,104,9.7,6.2,13.1
2020-04-19,104,9.6,6,12.3
2020-04-20,104,11,7.6,16.5
2020-04-21,104,8.7,4.7,14
2020-04-22,104,7.9,3.4,12.4
2020-04-23,104,8.8,5,14.9
2020-04-24,104,12.1,5.3,17.3
2020-04-25,104,15.8,10.9,22.1
2020-04-26,104,9.4,6,13.2
2020-04-27,104,9.9,5.3,13.4
2020-04-28,104,16.1,6.7,22.2
2020-04-29,104,17.8,12.7,22.4
2020-04-30,104,19.6,11.2,25.8
2020-05-01,104,25.2,16.1,32.2
2020-05-02,104,24.5,21.1,28.5
2020-05-03,104,21.9,17.1,26.6
2020-05-04,104,15.9,11.4,26
2020-05-05,104,14,11.1,17.3
2020-05-06,104,14.4,10.2,19
2020-05-07,104,13.2,7.2,18.1
2020-05-08,104,15.1,9.1,20.4
2020-05-09,104,14,12.2,17.3
2020-05-10,104,19.2,13.2,23.8
2020-05-11,104,20.6,16.4,25.9
2020-05-12,104,17.6,14.3,22.2
2020-05-13,104,20.3,14.9,25.7
2020-05-14,104,22.1,16.1,28.2
2020-05-15,104,16.1,13.6,22.1
2020-05-16,104,14.9,12.9,17.1
2020-05-17,104,16.7,14.2,21.8
2020-05-18,104,14.7,13.8,16.1
2020-05-19,104,11.4,8.4,16.2
2020-05-20,104,10,8,13.8
2020-05-21,104,12.1,7.8,15.3
2020-05-22,104,12.9,11.4,15.5
2020-05-23,104,14.7,11.8,19.6
2020-05-24,104,18.5,13.2,25.8
2020-05-25,104,19.7,15.8,23.7
2020-05-26,104,17.9,13,24.7
2020-05-27,104,18.3,12.1,23.4
2020-05-28,104,17.8,13.2,23
2020-05-29,104,17.2,11.8,22.7
2020-05-30,104,18.7,11.2,25.2
2020-05-31,104,18.5,12.7,22.4
2020-06-01,104,23,18.5,27.8
2020-06-02,104,19.8,13.6,25.9
2020-06-03,104,22.2,13.5,26.2
2020-06-04,104,26,21.1,31
2020-06-05,104,18.4,15.6,23.4
2020-06-06,104,18,13.8,21.2
2020-06-07,104,20,15.4,25.9
2020-06-08,104,25.6,17.4,31.1
2020-06-09,104,26.6,21.7,33.2
2020-06-10,104,24.4,20.2,28.9
2020-06-11,104,24.1,20.2,29
2020-06-12,104,21.2,18.6,23.8
2020-06-13,104,25,19.9,29.7
2020-06-14,104,26.2,21.5,32.5
2020-06-15,104,27,19.7,32.6
2020-06-16,104,22.5,18.2,27.4
2020-06-17,104,24.5,17.5,28.3
2020-06-18,104,21.6,18.2,26.4
2020-06-19,104,17.9,17.1,19.3
2020-06-20,104,20,15.3,24.4
2020-06-21,104,21,17.7,25.8
2020-06-22,104,23.6,18.1,30.1
2020-06-23,104,21,18.2,24.1
2020-06-24,104,19.9,18.6,21.7
2020-06-25,104,19.5,18.5,21.7
2020-06-26,104,23.5,18.3,28.1
2020-06-27,104,23.5,19.9,29.3
2020-06-28,104,20.8,17.9,24.3
2020-06-29,104,20.7,18.7,22.8
2020-06-30,104,17.9,16,19.9
2020-07-01,104,18.8,16,23.7
2020-07-02,104,22.7,16.3,28.6
2020-07-03,104,20.2,17.9,24.7
2020-07-04,104,20.1,17,24
2020-07-05,104,23.7,17.5,28.8
2020-07-06,104,22.2,19.4,26.2
2020-07-07,104,22.7,19.2,27
2020-07-08,104,22.3,19.1,25.8
2020-07-09,104,21.4,20.5,23.7
2020-07-10,104,21,19.9,23.4
2020-07-11,104,19,17.7,20.8
2020-07-12,104,18.6,15.5,20.9
2020-07-13,104,17.8,17,18.6
2020-07-14,104,17.7,16.1,19.2
2020-07-15,104,18.1,14.9,21.3
2020-07-16,104,19.9,13.9,24.5
2020-07-17,104,20.5,15.7,24.7
2020-07-18,104,19.8,16.6,23.4
2020-07-19,104,20.9,17.7,24.2
2020-07-20,104,26.1,21.2,29.2
2020-07-21,104,25.3,21.6,28.6
2020-07-22,104,22.6,20.5,26.8
2020-07-23,104,20.4,18.7,22.7
2020-07-24,104,19.6,17.7,20.8
2020-07-25,104,20,19.5,20.6
2020-07-26,104,20.4,18.7,23.5
