기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 북춘천
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,93,-0.9,-7.1,5.1
2020-01-21,93,-3.1,-9.7,3.9
2020-01-22,93,-0.5,-3.7,6
2020-01-23,93,0.9,-5.7,10.7
2020-01-24,93,0.5,-6.4,9.1
2020-01-25,93,1.9,-2.9,8.6
2020-01-26,93,3.6,-4.6,10.9
2020-01-27,93,6.3,4.9,7.2
2020-01-28,93,6,-1.4,10.4
2020-01-29,93,1.4,-4.4,8.6
2020-01-30,93,1.9,-2.7,8.1
2020-01-31,93,2,-2.1,8.8
2020-02-01,93,-0.1,-4.7,6.8
2020-02-02,93,-0.2,-5.4,5.6
2020-02-03,93,-0.7,-6.5,3.9
2020-02-04,93,-2.8,-10.2,3.9
2020-02-05,93,-7.5,-12.5,-2.8
2020-02-06,93,-7.6,-14.8,0.8
2020-02-07,93,-3.8,-10.6,2.7
2020-02-08,93,-1.4,-6.3,4.3
2020-02-09,93,-2.4,-10.2,4.5
2020-02-10,93,1.4,-5.6,9.9
2020-02-11,93,2,-6.9,13.3
2020-02-12,93,4.4,0.4,7.9
2020-02-13,93,6.4,0.4,12.8
2020-02-14,93,4.8,-0.5,13.9
2020-02-15,93,7.4,-1.2,15.5
2020-02-16,93,0.2,-4.4,6.9
2020-02-17,93,-5.5,-7.3,-3.4
2020-02-18,93,-4.8,-10.4,1.8
2020-02-19,93,-1.8,-8.9,6
2020-02-20,93,1.1,-5.7,10.4
2020-02-21,93,3.3,-3,9.6
2020-02-22,93,3.4,-0.4,6.2
2020-02-23,93,1.1,-5.1,8.2
2020-02-24,93,4.4,-2.7,12.2
2020-02-25,93,4.3,1,7.8
2020-02-26,93,3.1,-2.1,8.2
2020-02-27,93,3.8,-1.4,10
2020-02-28,93,1.6,-2,3.4
2020-02-29,93,5.1,0.4,11.1
2020-03-01,93,4.2,-2.3,10.1
2020-03-02,93,3.2,-1.5,8
