기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 속초
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,90,2.3,-0.6,5.9
2020-01-21,90,1.2,-3.5,5.9
2020-01-22,90,5.6,2,11.2
2020-01-23,90,5.9,2.3,10.4
2020-01-24,90,4,2,6.4
2020-01-25,90,4.7,0.9,7.7
2020-01-26,90,5.1,3.3,6.7
2020-01-27,90,6.4,5.1,7.2
2020-01-28,90,6.7,4,8.2
2020-01-29,90,5.8,3.7,9
2020-01-30,90,2.5,0.1,6.2
2020-01-31,90,2.1,-1.1,6.7
2020-02-01,90,4.4,0.3,8.2
2020-02-02,90,3.8,-0.7,8
2020-02-03,90,1.7,-0.7,5.2
2020-02-04,90,1.5,-2.5,5.5
2020-02-05,90,-4,-6.9,0
2020-02-06,90,-4,-8.2,0.5
2020-02-07,90,1.1,-5.9,5.3
2020-02-08,90,1.1,-1.7,4.4
2020-02-09,90,1.8,-3.4,6.5
2020-02-10,90,4,-0.1,8.1
2020-02-11,90,7,0.1,12.6
2020-02-12,90,9,5,11.7
2020-02-13,90,10.3,5.8,16.1
2020-02-14,90,9.9,6,13.7
2020-02-15,90,8.4,4,10.5
2020-02-16,90,2.1,-1.2,5.7
2020-02-17,90,-2.8,-5.2,-0.2
2020-02-18,90,0,-6.1,5.4
2020-02-19,90,3.5,-0.8,7.6
2020-02-20,90,5.8,1.3,10
2020-02-21,90,8.4,2.1,13.4
2020-02-22,90,6,0.9,8.9
2020-02-23,90,5.6,0.2,10.5
2020-02-24,90,9.6,5.6,12.7
2020-02-25,90,6.3,4.6,10.8
2020-02-26,90,2.7,0.4,5.2
2020-02-27,90,2.9,0,7.6
2020-02-28,90,5.2,-0.3,9.3
2020-02-29,90,6.6,2.3,9.1
2020-03-01,90,6.8,2.1,12.1
2020-03-02,90,4.4,1.4,7.1
2020-03-03,90,6,-0.6,10.5
2020-03-04,90,4.6,1.5,8.5
2020-03-05,90,2.9,-1.8,7.3
2020-03-06,90,5.2,-1,10.9
2020-03-07,90,6,1.8,9.9
2020-03-08,90,7.6,2.2,13.2
2020-03-09,90,9.2,3,13.6
2020-03-10,90,7.6,5,10.1
2020-03-11,90,6.3,2.2,10.5
2020-03-12,90,10.8,4.1,17
2020-03-13,90,6.8,0.7,11.9
2020-03-14,90,5.6,-0.6,11.7
2020-03-15,90,4.8,0.5,9
2020-03-16,90,5.1,0,8.7
2020-03-17,90,8.6,4,11.8
2020-03-18,90,12.9,5.5,18.3
2020-03-19,90,11.6,6.9,17.1
2020-03-20,90,11.3,5.6,17.4
2020-03-21,90,12.2,8.7,17.5
2020-03-22,90,9.5,4.9,13
2020-03-23,90,8.5,3.9,12.9
