기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 원주
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,114,1.1,-2.5,5.8
2020-01-21,114,-0.9,-6.2,4.9
2020-01-22,114,1.3,-1.5,4.8
2020-01-23,114,3.7,-1.7,11.5
2020-01-24,114,2.5,-2.6,9.4
2020-01-25,114,3.2,-0.9,9.4
2020-01-26,114,4.9,-1.6,11.7
2020-01-27,114,5.9,3.9,7.9
2020-01-28,114,6.2,1.8,11.7
2020-01-29,114,4.5,-0.9,10.2
2020-01-30,114,4.4,0.2,8.7
2020-01-31,114,3.8,1.3,8
2020-02-01,114,2.1,-1.6,6.2
2020-02-02,114,2.1,-0.6,5.8
2020-02-03,114,1.2,-1.7,4.5
2020-02-04,114,-0.5,-6.3,4.7
2020-02-05,114,-5.7,-8.5,-0.4
2020-02-06,114,-5.4,-11.4,1.2
2020-02-07,114,-2,-7.4,2.5
2020-02-08,114,0.8,-2.4,4.7
2020-02-09,114,-0.6,-6.6,4.5
2020-02-10,114,3.3,-1.9,9.6
2020-02-11,114,5.1,-3.1,13.6
2020-02-12,114,5.9,4.2,7.4
2020-02-13,114,7.7,3.4,12
2020-02-14,114,5.8,3.1,12.3
2020-02-15,114,9.3,1.3,16.5
2020-02-16,114,0.8,-3.4,8.5
2020-02-17,114,-4.5,-6.6,-2.5
2020-02-18,114,-3.4,-8.7,1.5
2020-02-19,114,0.3,-5.9,6.5
2020-02-20,114,3.7,-1.9,11
2020-02-21,114,5.6,-0.4,12.2
2020-02-22,114,5.2,1.3,8.9
2020-02-23,114,2.4,-2.6,7.9
2020-02-24,114,6,-1.1,13.1
2020-02-25,114,6.1,4.3,7.7
2020-02-26,114,6,1.1,10.4
2020-02-27,114,6.2,2.8,10.5
2020-02-28,114,3.6,1.1,5.2
2020-02-29,114,6.7,4,11.8
2020-03-01,114,5.8,0.7,11.7
2020-03-02,114,4.7,2.1,8.3
2020-03-03,114,6.1,-0.9,11.8
2020-03-04,114,3.5,0.3,7.3
2020-03-05,114,2.2,-1.4,7.1
2020-03-06,114,3.5,-3.6,10.6
2020-03-07,114,5.9,-0.6,12.7
2020-03-08,114,8,-0.1,17.3
2020-03-09,114,10.3,1.6,17.3
2020-03-10,114,7.9,4.7,11.5
2020-03-11,114,4.4,1.1,8.8
2020-03-12,114,6.7,-1.5,14.1
2020-03-13,114,7,2,11.8
2020-03-14,114,4.3,-1.7,10
2020-03-15,114,4.8,0.7,10
2020-03-16,114,4.1,-1.9,9.9
2020-03-17,114,3.9,1.7,7
2020-03-18,114,7.4,-0.6,17
2020-03-19,114,7.9,3.5,14.9
2020-03-20,114,8.6,2.1,15
2020-03-21,114,12.2,3,20.4
2020-03-22,114,12.8,7.9,18.7
2020-03-23,114,10.2,2.7,17.3
2020-03-24,114,10.7,2.9,17.5
2020-03-25,114,12.4,3.5,20.6
2020-03-26,114,14.4,6.4,23.1
2020-03-27,114,12.2,7.4,15.3
2020-03-28,114,7.7,3.7,12.8
2020-03-29,114,8.9,0.5,15.8
2020-03-30,114,10.5,3.3,17.4
2020-03-31,114,11.9,3.3,19.3
2020-04-01,114,10.9,4.8,19.1
2020-04-02,114,8.6,1.2,16.5
2020-04-03,114,9.8,1.7,17.4
2020-04-04,114,9.4,4.8,14.8
2020-04-05,114,7.3,-0.1,14.4
2020-04-06,114,9.3,0.8,16.9
2020-04-07,114,11,4.1,18.5
2020-04-08,114,9.6,3.6,14.8
2020-04-09,114,9.1,2.4,15.4
2020-04-10,114,11.1,5.2,15.6
2020-04-11,114,10.4,5.5,15.8
2020-04-12,114,8.4,3,14.4
2020-04-13,114,10,2.8,17.7
2020-04-14,114,12.4,3,21.3
2020-04-15,114,13.9,5,21.9
2020-04-16,114,15.9,7.9,23.2
2020-04-17,114,12.1,8.2,16.4
2020-04-18,114,12.5,7.9,17.9
2020-04-19,114,11.3,8.6,15.8
2020-04-20,114,10.2,8.1,13.9
2020-04-21,114,7.8,4.4,12.3
2020-04-22,114,6.5,3.7,9.7
2020-04-23,114,8.2,2.4,14.3
2020-04-24,114,10,2.8,16.1
2020-04-25,114,14.3,7.2,20.5
2020-04-26,114,12.1,6.3,17.8
2020-04-27,114,11.5,6.3,16.7
2020-04-28,114,13.3,4.3,20.6
2020-04-29,114,15,7.5,22.1
2020-04-30,114,16.7,7,24
2020-05-01,114,21.7,15.7,28.3
2020-05-02,114,20.5,18.1,24
2020-05-03,114,19.4,15.8,23.6
2020-05-04,114,21.1,16.2,27.1
2020-05-05,114,16.7,12.3,22.4
2020-05-06,114,18.8,11.7,26.9
2020-05-07,114,19.7,12.2,26
2020-05-08,114,19.8,13.8,26.8
2020-05-09,114,15.4,12.8,18.4
2020-05-10,114,14.7,12.8,17
2020-05-11,114,18,14.6,23.1
2020-05-12,114,15.4,11.2,19.9
2020-05-13,114,15.7,8.5,22.7
2020-05-14,114,18.5,9.5,26
2020-05-15,114,15.9,14.4,19
2020-05-16,114,18.1,14.6,22.2
2020-05-17,114,21.1,16.3,26.6
2020-05-18,114,19.8,14.9,26.7
2020-05-19,114,12.4,9.5,14.8
2020-05-20,114,12.1,7.2,16.7
2020-05-21,114,16,8.2,22.2
2020-05-22,114,18.4,13.3,23.6
2020-05-23,114,20.2,15.5,25.8
2020-05-24,114,19.2,15.8,22.2
2020-05-25,114,16.6,13.7,20.1
2020-05-26,114,18.2,14.6,24.4
2020-05-27,114,18.3,12.6,24.2
2020-05-28,114,18.2,13,24
2020-05-29,114,20.2,12.7,26.8
2020-05-30,114,22.1,14.6,29.1
2020-05-31,114,21.9,14.9,28.5
2020-06-01,114,20.1,16.2,25.5
2020-06-02,114,19,13.5,25
2020-06-03,114,21.9,16.9,27.5
2020-06-04,114,24.5,19.8,30
2020-06-05,114,24.1,20.6,29.2
2020-06-06,114,24.4,18,30.4
2020-06-07,114,23.9,20.2,29
2020-06-08,114,25.4,19.7,31.1
2020-06-09,114,26.9,20.1,33.4
2020-06-10,114,26,21,32.5
2020-06-11,114,26.4,21.8,31.9
2020-06-12,114,24.5,21.3,28.1
2020-06-13,114,26.5,20.6,32.4
2020-06-14,114,24,20.9,28.7
2020-06-15,114,22.9,18.4,28.1
2020-06-16,114,23.3,18,28.8
2020-06-17,114,24,18.5,29.5
2020-06-18,114,22.2,20,25
2020-06-19,114,23.9,19.2,29.2
2020-06-20,114,24.8,19.2,30.7
2020-06-21,114,26.9,21.5,32.4
2020-06-22,114,28,21,34.5
2020-06-23,114,27.8,22.9,33.7
2020-06-24,114,22.8,19.7,27.5
2020-06-25,114,22,19.8,24
2020-06-26,114,21.8,19.2,26.2
2020-06-27,114,24,20.2,28.8
2020-06-28,114,24.8,20.1,30.5
2020-06-29,114,23.6,20,27.8
2020-06-30,114,21.1,17.4,25
2020-07-01,114,19.5,17.1,23.1
2020-07-02,114,24.2,17.9,29.9
2020-07-03,114,24.2,20.6,28.9
2020-07-04,114,22.9,17.7,28.4
2020-07-05,114,23.6,18.6,28.4
2020-07-06,114,25.4,20.2,31.5
2020-07-07,114,24.7,22.1,27.8
2020-07-08,114,25.7,20.6,30.8
2020-07-09,114,27.2,21.7,33
2020-07-10,114,24.8,22.7,28.5
2020-07-11,114,24.8,21.9,29.2
2020-07-12,114,22.4,19.8,25.8
2020-07-13,114,18.6,17.5,20.1
2020-07-14,114,20.2,16.6,23.9
2020-07-15,114,21.1,17.2,26.2
2020-07-16,114,22.8,18.1,29.4
2020-07-17,114,24.7,20.1,30.4
2020-07-18,114,25,21,29.8
2020-07-19,114,25.1,20.7,29.6
2020-07-20,114,24.4,22.1,28.8
2020-07-21,114,25.2,22,30.9
2020-07-22,114,23.4,21.9,26.3
2020-07-23,114,21.3,19,23.6
2020-07-24,114,21.8,18.5,25.3
2020-07-25,114,23,20.3,26.8
2020-07-26,114,24.3,20.5,29.1
2020-07-27,114,24.6,22.1,27.5
2020-07-28,114,23.8,22.2,26.6
2020-07-29,114,24.5,22.4,27.8
2020-07-30,114,25,23,28.5
2020-07-31,114,26,22.4,29.8
2020-08-01,114,25.4,22.3,30.1
2020-08-02,114,24.6,22.8,28.3
2020-08-03,114,24.2,22.4,26.7
2020-08-04,114,26.3,23,30.7
2020-08-05,114,25.7,23.9,27.6
2020-08-06,114,24.6,23.2,26.8
2020-08-07,114,23.4,22,25.8
2020-08-08,114,23.1,21.2,25.6
2020-08-09,114,25.1,23,27.7
2020-08-10,114,25.3,23.5,28.8
2020-08-11,114,24.4,22.6,26.9
2020-08-12,114,26.3,22.9,30.5
2020-08-13,114,28.1,24.7,31.8
2020-08-14,114,27.8,26.4,31
2020-08-15,114,25.8,24.1,27.2
2020-08-16,114,27.2,23.6,31.6
2020-08-17,114,27.4,24.7,31.4
2020-08-18,114,27,23.6,31.7
2020-08-19,114,27.1,23,31.7
2020-08-20,114,27.3,23.1,32.2
2020-08-21,114,26.9,24,32
2020-08-22,114,24.9,20.6,29.7
2020-08-23,114,24.3,20.4,29.6
2020-08-24,114,26.8,21.7,31.7
2020-08-25,114,29,24,34.4
2020-08-26,114,29.2,25,34.1
2020-08-27,114,27.8,25.1,31.6
2020-08-28,114,27.8,24.6,32.4
2020-08-29,114,26.1,23.9,30.9
2020-08-30,114,25.6,24,30.1
2020-08-31,114,25.7,22.9,30.4
2020-09-01,114,25.7,21.4,30
2020-09-02,114,23.7,22.8,25
2020-09-03,114,22.6,20.4,25.9
2020-09-04,114,22.6,18.7,26.9
2020-09-05,114,20.4,16.8,23.7
2020-09-06,114,20.2,17.1,25.5
2020-09-07,114,19,16,20.8
2020-09-08,114,22.6,19.7,26.6
2020-09-09,114,20.3,17.7,25.4
2020-09-10,114,21.2,17.4,25.8
2020-09-11,114,20.9,17.5,26.3
2020-09-12,114,18.9,17.2,21.6
2020-09-13,114,20.2,15.4,25.4
2020-09-14,114,20.3,16.2,25.1
2020-09-15,114,22.2,17.7,27.2
2020-09-16,114,21.5,20.1,25.5
2020-09-17,114,20.4,17.7,23.6
2020-09-18,114,20.5,16.8,25.1
2020-09-19,114,19.1,15.8,23.8
2020-09-20,114,17.6,12,24
2020-09-21,114,16.7,10.5,23.1
2020-09-22,114,17.7,12.6,23.6
2020-09-23,114,17.1,12.7,21.8
2020-09-24,114,18.6,13.9,24.6
2020-09-25,114,18.1,13.7,24.1
2020-09-26,114,17.6,12.8,23.2
2020-09-27,114,18,12.6,24
2020-09-28,114,17.8,12,24.8
2020-09-29,114,17.3,12,23.3
2020-09-30,114,18.2,13.3,24
2020-10-01,114,18.9,14.5,24
2020-10-02,114,19.8,16.6,23.4
2020-10-03,114,18.4,16.8,21.6
2020-10-04,114,17,11.3,21
2020-10-05,114,12.4,7.1,18
2020-10-06,114,12.7,6.9,18.8
2020-10-07,114,14.7,8.5,21.9
2020-10-08,114,14.8,9,22.3
2020-10-09,114,15,8.6,22.6
2020-10-10,114,15,8.7,20.8
2020-10-11,114,15.3,9.8,19.8
2020-10-12,114,15.7,11.9,20.9
2020-10-13,114,12.4,8.7,17.5
2020-10-14,114,11.6,7.8,18.2
2020-10-15,114,10.8,5.9,17.3
2020-10-16,114,10.7,5.8,16.1
2020-10-17,114,11.1,6.7,17.8
2020-10-18,114,10.8,3.6,18.3
2020-10-19,114,12.5,6.2,20.3
2020-10-20,114,12.7,6.5,20.7
2020-10-21,114,11.9,8.6,16
2020-10-22,114,12.4,8.4,17.5
2020-10-23,114,8.1,3.8,13.8
2020-10-24,114,7.2,0.9,13.2
2020-10-25,114,8.8,1.3,17.2
2020-10-26,114,10.4,3.7,18
2020-10-27,114,11.3,5.4,18.5
2020-10-28,114,12.3,6.5,19.1
2020-10-29,114,8.3,2.1,15.9
2020-10-30,114,9.8,2.5,18.1
2020-10-31,114,11.1,3.9,17.4
2020-11-01,114,12.1,10.4,13.4
2020-11-02,114,10.7,7.2,15.7
2020-11-03,114,5.7,2,8.5
2020-11-04,114,3.7,-1.5,9.9
2020-11-05,114,7.3,-1.1,15.2
2020-11-06,114,11.5,7.5,16.2
2020-11-07,114,13.6,9.4,18.3
2020-11-08,114,8.7,4.1,13.5
2020-11-09,114,5.5,-0.8,10.2
2020-11-10,114,6,0.3,12.4
2020-11-11,114,6.6,0.2,15
2020-11-12,114,7.9,0.9,16.8
2020-11-13,114,8.7,2.4,16.3
2020-11-14,114,10,3,18.1
2020-11-15,114,9.7,4.2,16.6
2020-11-16,114,9.7,4.4,17
2020-11-17,114,13.4,6.2,19.4
2020-11-18,114,17,12.8,20
2020-11-19,114,16.1,9.3,22.2
2020-11-20,114,5.1,2.9,9.4
2020-11-21,114,6.7,-0.5,12.9
2020-11-22,114,6.9,3,10.3
2020-11-23,114,2.3,-0.6,6.5
2020-11-24,114,2.8,-1.3,8.4
2020-11-25,114,2.9,-1.6,8.9
2020-11-26,114,4,-0.4,10.3
2020-11-27,114,4.1,1,8.2
2020-11-28,114,0.9,-1.8,4.3
2020-11-29,114,0.6,-3.2,3.7
2020-11-30,114,-0.4,-4.6,4.2
2020-12-01,114,0.4,-5.6,6.3
2020-12-02,114,1.8,-1.3,5.7
2020-12-03,114,0.6,-3.1,5.4
2020-12-04,114,-1.7,-6,3.7
2020-12-05,114,-0.2,-6,6
2020-12-06,114,1.9,-2.2,7.7
2020-12-07,114,2.4,-1.2,7.2
2020-12-08,114,-1.2,-4.7,4
2020-12-09,114,-0.6,-6.7,5.3
2020-12-10,114,3.9,0.7,7.5
2020-12-11,114,4.4,-0.2,8.8
2020-12-12,114,2.6,-1.3,7.3
2020-12-13,114,-1.4,-4.6,1.2
2020-12-14,114,-6.7,-8.8,-4.4
2020-12-15,114,-7.8,-11.7,-3.9
2020-12-16,114,-8.8,-14.4,-3.5
2020-12-17,114,-7.8,-14.6,-2.3
2020-12-18,114,-2.3,-5.8,2.2
2020-12-19,114,-5.9,-10.5,-0.8
2020-12-20,114,-5.9,-11.7,0.2
2020-12-21,114,-4.2,-10.4,2.8
2020-12-22,114,-1.7,-6.8,4.8
2020-12-23,114,1.4,-3.7,5.7
2020-12-24,114,3.5,-0.6,6.9
2020-12-25,114,-1.2,-5.1,3.1
2020-12-26,114,-0.3,-4.6,6.1
2020-12-27,114,2.7,-2.1,8.8
2020-12-28,114,4.4,1,11
2020-12-29,114,0.8,-2.3,6.3
2020-12-30,114,-8.8,-11.8,-2.3
2020-12-31,114,-8.9,-13.3,-4.7
2021-01-01,114,-6.1,-12,-0.3
2021-01-02,114,-4.9,-9,-0.7
2021-01-03,114,-5.6,-10.5,-1
2021-01-04,114,-3.9,-11.2,1.5
2021-01-05,114,-3.8,-8.9,-0.7
2021-01-06,114,-7.4,-13.7,-3.1
2021-01-07,114,-12.6,-15.1,-4
2021-01-08,114,-13.6,-17.8,-9.9
2021-01-09,114,-12.4,-18.4,-7.5
2021-01-10,114,-9.6,-16.9,-3.7
2021-01-11,114,-8.8,-12.8,-4.5
2021-01-12,114,-5.4,-13.2,0.9
2021-01-13,114,2.2,-5.4,8.5
2021-01-14,114,1,-4.1,7.4
2021-01-15,114,4.4,-2.9,11.5
2021-01-16,114,-2.3,-5.7,2.2
2021-01-17,114,-5,-10.1,-1.5
2021-01-18,114,-3.1,-6.7,0.8
2021-01-19,114,-6.9,-12.5,-1.2
2021-01-20,114,-3.4,-10.6,6.2
2021-01-21,114,2.6,-3.8,7.8
2021-01-22,114,5.5,3.2,8.1
2021-01-23,114,6,0.5,13
2021-01-24,114,4.7,-1.1,12.4
2021-01-25,114,4.5,-1.1,13.8
