기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 인제
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,211,0.9,-3.5,5.1
2020-01-21,211,-2.7,-8.6,5.4
2020-01-22,211,0.2,-3.3,6.9
2020-01-23,211,1.2,-4.3,12.2
2020-01-24,211,0.6,-5.8,8.6
2020-01-25,211,2.1,-1.7,9.5
2020-01-26,211,2.8,-2.8,8.6
2020-01-27,211,5.1,3.8,6.2
2020-01-28,211,5.1,2.4,7.3
2020-01-29,211,3.5,0,7.6
2020-01-30,211,2.5,-1.7,6.6
2020-01-31,211,1.5,-2.9,8.1
2020-02-01,211,0.2,-3.9,5.8
2020-02-02,211,0.8,-4.8,5.7
2020-02-03,211,0.3,-4.3,4.3
2020-02-04,211,-1.7,-8.6,4
2020-02-05,211,-6.9,-11.9,-1.3
2020-02-06,211,-6.6,-14,2.6
2020-02-07,211,-2.4,-9.9,2.9
2020-02-08,211,-0.9,-6,4
2020-02-09,211,-1.8,-9.9,3.9
2020-02-10,211,1.8,-3.4,9.4
2020-02-11,211,1.7,-6.2,13.7
2020-02-12,211,4.5,-0.9,9.8
2020-02-13,211,6.8,0.8,12.3
2020-02-14,211,5.7,-0.5,15.9
2020-02-15,211,7.3,0.9,15.3
2020-02-16,211,-0.1,-3.6,4.8
2020-02-17,211,-5.3,-7.2,-3.6
2020-02-18,211,-4.2,-8.3,1.6
2020-02-19,211,-1.8,-8.7,6.4
2020-02-20,211,,-2.7,9.8
2020-02-21,211,3.6,-3.7,10.1
2020-02-22,211,3,-0.6,5.7
2020-02-23,211,0.9,-5.1,6.3
2020-02-24,211,4.2,-2.7,11.3
2020-02-25,211,2.9,0.6,5.5
2020-02-26,211,3,1,6.2
2020-02-27,211,2,-1.9,8.9
2020-02-28,211,1,-3.1,3.9
2020-02-29,211,5.3,-0.2,12.3
2020-03-01,211,4.4,-1.8,10.6
2020-03-02,211,2.5,-1.6,7.1
2020-03-03,211,3.9,-3.2,10.5
2020-03-04,211,2.2,-0.4,6.8
2020-03-05,211,0.8,-3.5,6.7
2020-03-06,211,1.3,-6.4,9.9
2020-03-07,211,3.2,-3.1,11.6
2020-03-08,211,5.5,-3.4,17.2
2020-03-09,211,7.9,-2.5,17.3
2020-03-10,211,6.8,4.7,9.7
2020-03-11,211,2.8,-0.9,8.5
2020-03-12,211,5.6,-4.2,12.5
2020-03-13,211,5.8,-2.2,11.6
2020-03-14,211,2.5,-5.5,8.7
2020-03-15,211,2.2,-2.3,7.4
2020-03-16,211,2.8,-3.8,8.8
2020-03-17,211,2.7,0.8,4.6
2020-03-18,211,6.6,1,15.5
