기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 정선군
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,217,0.4,-2.4,3.4
2020-01-21,217,-2.5,-8.3,5.5
2020-01-22,217,0,-4,5.3
2020-01-23,217,2.7,-1.8,12.4
2020-01-24,217,1.1,-5.2,9.4
2020-01-25,217,1.6,-2.4,8.1
2020-01-26,217,2.5,-2.4,8.6
2020-01-27,217,4,3,5
2020-01-28,217,4.2,0.7,6.6
2020-01-29,217,2.2,-1.4,7.1
2020-01-30,217,,-1.2,6.1
2020-01-31,217,1.6,-2.5,7.4
2020-02-01,217,0.9,-2.4,4.9
2020-02-02,217,0.5,-4,5.8
2020-02-03,217,-0.2,-4.3,3.2
2020-02-04,217,-1.7,-8.7,4
2020-02-05,217,-5.6,-10,0.6
2020-02-06,217,-6.1,-13.3,3
2020-02-07,217,-3.3,-10.1,2.5
2020-02-08,217,-1.3,-5.6,3.2
2020-02-09,217,-2.5,-9.4,4
2020-02-10,217,1.1,-3.7,8.4
2020-02-11,217,1.6,-6.8,13.1
2020-02-12,217,2.6,-0.4,4.7
2020-02-13,217,6.3,0.2,13
2020-02-14,217,4.7,-0.4,15.3
2020-02-15,217,7,-0.2,15.9
2020-02-16,217,0.7,-4.6,7.3
2020-02-17,217,-5.8,-7.1,-3.5
2020-02-18,217,-4.3,-9.5,1.4
2020-02-19,217,-0.9,-7.8,7.1
2020-02-20,217,1.4,-4.7,10.8
2020-02-21,217,3.2,-3.4,10.5
2020-02-22,217,4,0.2,6.5
2020-02-23,217,1.1,-3.7,7.3
2020-02-24,217,4.7,-3.6,13
2020-02-25,217,3.1,0.8,5.3
2020-02-26,217,4.1,1.8,8
2020-02-27,217,2.5,-1.4,7.7
2020-02-28,217,1.2,-2.4,3.7
2020-02-29,217,5.9,1.1,13.5
2020-03-01,217,5.6,0.1,11.3
2020-03-02,217,3.7,-0.3,9.2
2020-03-03,217,4.4,-2.8,11.2
2020-03-04,217,2.4,-1.3,6.6
2020-03-05,217,0.4,-4.8,7.5
2020-03-06,217,1.5,-6.5,11.4
2020-03-07,217,4,-3.1,12.6
2020-03-08,217,6.2,-1.6,17.4
2020-03-09,217,8.3,-1.7,17.8
2020-03-10,217,7.2,4.8,10
2020-03-11,217,3.2,-0.4,7.6
2020-03-12,217,5.7,-3.9,13.5
2020-03-13,217,6.4,0.6,12.3
2020-03-14,217,3.2,-4.3,8.5
2020-03-15,217,2.7,-2.2,8.1
2020-03-16,217,2.9,-4.2,9.5
2020-03-17,217,2.2,0.1,5.2
2020-03-18,217,5.7,-1.7,15.8
2020-03-19,217,4.3,-1.4,12.5
2020-03-20,217,8.3,0.6,14.5
2020-03-21,217,12.3,4.6,19.5
2020-03-22,217,11.6,4.6,18.2
2020-03-23,217,6.4,-0.8,16
2020-03-24,217,7,-1.7,18
2020-03-25,217,10,-0.3,21.2
2020-03-26,217,12.9,3,23.5
2020-03-27,217,9.9,6.4,13.3
2020-03-28,217,6.2,1.3,12.7
2020-03-29,217,5.8,-2,13.3
2020-03-30,217,8.3,0.5,18
2020-03-31,217,10,0.7,19.7
2020-04-01,217,8.1,2.4,15.5
2020-04-02,217,8.3,1.7,16.7
2020-04-03,217,9,-0.9,17.4
2020-04-04,217,6.5,-0.1,13.1
2020-04-05,217,5.4,-3.3,15.6
2020-04-06,217,7.9,-2.7,17.8
2020-04-07,217,10.6,1.4,17.4
2020-04-08,217,7.4,1.8,13.5
2020-04-09,217,6.2,-1.6,15.1
2020-04-10,217,7.6,-0.2,15.2
2020-04-11,217,8.2,1.7,14.3
2020-04-12,217,4.6,0.5,10.4
2020-04-13,217,6.9,1.3,13.5
2020-04-14,217,9.4,-1.8,20.8
2020-04-15,217,11.1,1.4,23.1
2020-04-16,217,11.5,3.7,21.3
2020-04-17,217,9.3,6.7,14.4
2020-04-18,217,9.9,6.2,16.1
2020-04-19,217,8.4,4.4,13.6
2020-04-20,217,9.3,6.8,12.7
2020-04-21,217,6.4,3.1,11
2020-04-22,217,5.1,2.6,9.1
2020-04-23,217,6.6,2.4,13.2
2020-04-24,217,8.3,-0.1,14.5
2020-04-25,217,13.8,8.2,19.8
2020-04-26,217,9.1,4.5,15.4
2020-04-27,217,7.5,1.2,15.3
2020-04-28,217,11.5,2.3,19.4
2020-04-29,217,14.3,5.8,23.3
2020-04-30,217,17,6.5,24.9
2020-05-01,217,21.7,14.4,29
2020-05-02,217,20.8,17.1,25.3
2020-05-03,217,17,13.9,20.9
2020-05-04,217,18.5,14.1,28
2020-05-05,217,15,10.7,21.4
2020-05-06,217,15.8,9.1,24.1
2020-05-07,217,15.2,5.8,23.9
2020-05-08,217,17.1,7,26.8
2020-05-09,217,14.1,12.6,15.8
2020-05-10,217,14.6,12.4,18
2020-05-11,217,16.9,12,22.3
2020-05-12,217,15,9.9,19.5
2020-05-13,217,14.8,7.1,22.2
2020-05-14,217,16.6,6.1,26.8
2020-05-15,217,13.8,12.9,16.9
2020-05-16,217,16.6,12.9,22.6
2020-05-17,217,20.1,14.5,28.5
2020-05-18,217,17.9,14.1,25.3
2020-05-19,217,11.7,8.5,15.4
2020-05-20,217,10.3,6.6,14
2020-05-21,217,13.1,6,21.7
2020-05-22,217,15.6,9.2,24.3
2020-05-23,217,18,11.9,26.6
2020-05-24,217,17.3,13.3,23.5
2020-05-25,217,17,11.7,23
2020-05-26,217,17.3,13.2,25.2
2020-05-27,217,16.7,10.3,24.9
2020-05-28,217,16.4,10.1,24.4
2020-05-29,217,16.5,10.3,26.1
2020-05-30,217,18.6,10.3,29.1
2020-05-31,217,20.3,10.7,29
2020-06-01,217,19.4,13.5,24.6
2020-06-02,217,18.9,10.8,24.1
2020-06-03,217,21.6,16.8,28.8
2020-06-04,217,23.7,16.1,30
2020-06-05,217,22.4,16.7,30.6
2020-06-06,217,21,14.5,29.7
2020-06-07,217,21,12.4,30.1
2020-06-08,217,23.7,15.5,33
2020-06-09,217,25.5,17.1,36
2020-06-10,217,24.9,17.7,33.6
2020-06-11,217,25,19.9,33.5
2020-06-12,217,23.3,18.4,28.5
2020-06-13,217,25.4,18.3,34.1
2020-06-14,217,24.2,20.8,29.5
2020-06-15,217,22.2,17.1,28.9
2020-06-16,217,21.5,12.9,30.8
2020-06-17,217,22.4,14.3,30.1
2020-06-18,217,21.6,17.9,25.3
2020-06-19,217,19.9,15.7,25.1
2020-06-20,217,21.2,15.1,31.6
2020-06-21,217,23.6,19,32.8
2020-06-22,217,25.4,18.7,35.5
2020-06-23,217,25.7,17.7,35.7
2020-06-24,217,20.6,17.4,24.2
2020-06-25,217,20.2,17.7,22.7
2020-06-26,217,20.6,18.5,23.7
2020-06-27,217,21.3,17.7,27.2
2020-06-28,217,22,16.8,29.1
2020-06-29,217,21.7,18.6,26.8
2020-06-30,217,19.9,16.3,23
2020-07-01,217,18.2,15.6,23.2
2020-07-02,217,21.6,15.7,29.4
2020-07-03,217,20.9,16.1,26.6
2020-07-04,217,21.3,15.2,28.2
2020-07-05,217,22.2,16.4,28.8
2020-07-06,217,23.3,17.7,30.7
2020-07-07,217,23.2,18.8,28.6
2020-07-08,217,24.2,18,31.4
2020-07-09,217,23.8,19.3,30.9
2020-07-10,217,22.8,18.9,29.6
2020-07-11,217,22.3,19.5,26.4
2020-07-12,217,20.3,16.7,25.1
2020-07-13,217,17.9,16,19.6
2020-07-14,217,18.4,15.6,21.5
2020-07-15,217,19,15.7,26.3
2020-07-16,217,21,15.4,30.9
2020-07-17,217,22.5,15.5,31.4
2020-07-18,217,22.4,17,31.6
2020-07-19,217,22.3,17.2,28.4
2020-07-20,217,24,22.4,26.7
2020-07-21,217,24.8,19.1,32.2
2020-07-22,217,22.6,20.4,27.4
2020-07-23,217,20.3,18.1,22.9
2020-07-24,217,20.6,18.6,24
2020-07-25,217,21.6,19,25.3
2020-07-26,217,22.3,17.8,28.3
2020-07-27,217,21.7,19.5,26.5
2020-07-28,217,21.5,19.5,25
2020-07-29,217,21.7,19.5,27.1
2020-07-30,217,22.6,19.6,27.5
2020-07-31,217,24,18.3,31.2
2020-08-01,217,23.9,21,29.3
2020-08-02,217,23,21.4,26
2020-08-03,217,23.1,21,25.5
2020-08-04,217,25.1,21.9,29.3
2020-08-05,217,22.5,21.1,24.9
2020-08-06,217,23,20.2,25.2
2020-08-07,217,21.2,19,25.4
