기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 철원
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,95,-1.4,-6.5,4.1
2020-01-21,95,-4.1,-11.3,4
2020-01-22,95,-0.2,-4.1,7.2
2020-01-23,95,0.9,-5.3,9.4
2020-01-24,95,-1.2,-7,7.1
2020-01-25,95,0,-5.2,8.2
2020-01-26,95,2.9,-5.4,11
2020-01-27,95,4.9,2.9,6.5
2020-01-28,95,4.8,-2.4,10
2020-01-29,95,2.3,-3.3,9.1
2020-01-30,95,2.2,-3.6,9
2020-01-31,95,2.2,-1.8,7.8
2020-02-01,95,-1.1,-5.7,5.3
2020-02-02,95,-1.5,-7,4.5
2020-02-03,95,-1.8,-7.2,2.2
2020-02-04,95,-4.4,-10.7,2.7
2020-02-05,95,-11.7,-17.2,-6.2
2020-02-06,95,-10.1,-17.7,-1.6
2020-02-07,95,-4,-12.4,1.2
2020-02-08,95,-2,-6.7,3.2
2020-02-09,95,-3.1,-11.1,2.7
2020-02-10,95,0.7,-6.2,8.3
2020-02-11,95,2.2,-6.7,12.7
2020-02-12,95,5.3,-0.2,10.8
2020-02-13,95,5.6,3.2,9.6
2020-02-14,95,7,2.1,14.9
2020-02-15,95,6.9,0.4,15.8
2020-02-16,95,-1.8,-5.7,4.1
2020-02-17,95,-7,-8.1,-5.4
2020-02-18,95,-6.4,-12.9,-0.7
2020-02-19,95,-2.1,-9.4,5.4
2020-02-20,95,1,-4.8,9.4
2020-02-21,95,3.8,-2.5,9.2
2020-02-22,95,3,-0.8,6.3
2020-02-23,95,0.6,-5.8,6.7
2020-02-24,95,4.4,-1.4,9.8
2020-02-25,95,4.4,2.7,8.8
2020-02-26,95,3.1,-1,8.7
2020-02-27,95,3.2,-2.6,10.3
2020-02-28,95,1.7,-1.5,4.8
2020-02-29,95,4.5,0,10.9
2020-03-01,95,3.9,-2.3,10.2
2020-03-02,95,1.7,-2.2,6.1
2020-03-03,95,3.5,-4,10.5
2020-03-04,95,1.3,-1.5,4.1
2020-03-05,95,-0.2,-6.4,6.6
2020-03-06,95,0.9,-6.8,8.9
2020-03-07,95,3.3,-4.1,13.2
2020-03-08,95,5.8,-3.9,16.1
2020-03-09,95,7.8,-2.6,15.5
2020-03-10,95,6.1,2.6,9.8
2020-03-11,95,2.6,-2.1,7.9
2020-03-12,95,4.7,-3.9,11.7
2020-03-13,95,3.3,-3.5,7.6
2020-03-14,95,1.8,-7.2,8.3
2020-03-15,95,1.5,-3.8,7.4
2020-03-16,95,1.1,-7.9,8.5
2020-03-17,95,3.7,-0.8,8.8
2020-03-18,95,5.5,-4,16.2
2020-03-19,95,8.6,2.6,11.9
2020-03-20,95,7.5,-1.2,14.2
2020-03-21,95,11.7,5.5,18
2020-03-22,95,8.4,1.7,16.1
2020-03-23,95,7.4,-2,16.1
2020-03-24,95,8.7,-2.5,17.5
2020-03-25,95,9.3,-0.6,19.4
2020-03-26,95,12.5,0.9,19.9
2020-03-27,95,10.3,2.9,15.6
2020-03-28,95,4.3,-2.8,12.6
2020-03-29,95,6.2,-4.8,15.3
2020-03-30,95,7.7,-2.4,17
2020-03-31,95,9.6,-1.4,18.7
2020-04-01,95,8.2,1.4,18.3
2020-04-02,95,7,-2.4,16.3
2020-04-03,95,8.1,-2.8,17.2
2020-04-04,95,7.8,-0.6,13.7
2020-04-05,95,5,-5.2,14.4
2020-04-06,95,7.7,-3.2,17
2020-04-07,95,8.5,-1,17.2
2020-04-08,95,6.5,-2.2,14
2020-04-09,95,7,-2.7,14.9
2020-04-10,95,8.2,1.1,14.9
2020-04-11,95,8.5,0,16
2020-04-12,95,7,1.4,11.4
2020-04-13,95,8.5,-1.2,18.4
2020-04-14,95,10.7,-1,21.1
2020-04-15,95,11.8,1,21.8
2020-04-16,95,14.1,5,22.7
2020-04-17,95,9.6,6,12.1
2020-04-18,95,12.6,5.1,19.5
2020-04-19,95,10.9,7.7,16.5
2020-04-20,95,8.9,5.8,11.7
2020-04-21,95,6.2,3.2,10.3
2020-04-22,95,5.2,2.8,8.4
2020-04-23,95,7.2,-0.1,13.4
2020-04-24,95,8.5,-1.5,15.2
2020-04-25,95,11.4,4.9,16.8
2020-04-26,95,10,1.7,17.3
2020-04-27,95,10,2,17.2
2020-04-28,95,11.9,1.3,19.8
2020-04-29,95,12.9,4.6,21.4
2020-04-30,95,14.4,2.9,22.8
2020-05-01,95,19.2,13,25.7
2020-05-02,95,18.5,15.2,21.6
2020-05-03,95,21,14.6,26.8
2020-05-04,95,21.1,15.4,27.4
2020-05-05,95,16,10.8,21.7
2020-05-06,95,17.9,8,26.4
2020-05-07,95,18.6,10.3,25.9
2020-05-08,95,17.7,12.1,25.9
2020-05-09,95,13.9,11.7,16
2020-05-10,95,14.3,12.3,17.5
2020-05-11,95,15.9,11.5,21.1
2020-05-12,95,12.6,8.8,18.9
2020-05-13,95,14.8,5.6,22.2
2020-05-14,95,16.3,8,23.8
2020-05-15,95,14.5,12.5,17.1
2020-05-16,95,16.9,13.6,20.6
2020-05-17,95,18.6,15.3,23.4
2020-05-18,95,17.7,12.8,26.5
2020-05-19,95,11.4,8.3,14.8
2020-05-20,95,12.5,5.8,18.7
2020-05-21,95,15,7.4,21.2
2020-05-22,95,16.3,11.9,20.3
2020-05-23,95,18.6,14.1,24
2020-05-24,95,17.4,15.4,22.1
2020-05-25,95,17.9,14.3,22.4
2020-05-26,95,15.8,11.6,21
2020-05-27,95,16.7,9.5,24.2
2020-05-28,95,16.5,12.4,21.6
2020-05-29,95,18.8,10.3,27
2020-05-30,95,21.2,12.1,28.8
2020-05-31,95,20,14,27.1
2020-06-01,95,19.8,15.5,25.3
2020-06-02,95,16.3,12.7,22
2020-06-03,95,21.2,16.2,28
2020-06-04,95,21.6,18,26.7
2020-06-05,95,21.7,17,27.7
2020-06-06,95,22.9,15.2,29.7
2020-06-07,95,22.3,17.6,28
2020-06-08,95,23.5,17.6,30.2
2020-06-09,95,24.9,17.4,31.8
2020-06-10,95,24.5,18.5,30.9
2020-06-11,95,25.1,20.7,30.8
2020-06-12,95,22.8,17.6,28.8
2020-06-13,95,24.7,15.9,33.1
2020-06-14,95,24.3,20.9,29.2
2020-06-15,95,22.9,15.5,29.6
2020-06-16,95,22.8,16.5,29.3
2020-06-17,95,23.5,16.8,30
2020-06-18,95,21,16.7,25
2020-06-19,95,23.2,19,28.9
2020-06-20,95,23.3,16.9,29.5
2020-06-21,95,24.1,16.3,31.4
2020-06-22,95,25.6,17.4,33.6
2020-06-23,95,25.1,19.2,30.4
2020-06-24,95,19.9,18.2,23.6
2020-06-25,95,20.1,18.1,22.5
2020-06-26,95,21.2,18.8,24.8
2020-06-27,95,22.3,17.8,28.4
2020-06-28,95,22.9,17.7,29.1
2020-06-29,95,22.7,18.2,26.7
2020-06-30,95,19.2,16.8,21.4
2020-07-01,95,19.6,16.2,25.3
2020-07-02,95,22.8,16.2,29.4
2020-07-03,95,24.2,18.7,31.1
2020-07-04,95,23,18.7,28.1
2020-07-05,95,22.5,18.2,27.8
2020-07-06,95,24.2,18.7,30
2020-07-07,95,22.9,19.7,26.9
2020-07-08,95,24,18.9,30.2
2020-07-09,95,25,17.9,31.7
2020-07-10,95,21.8,20,24.3
2020-07-11,95,22.7,19.8,26.9
2020-07-12,95,20.9,15.3,24.9
2020-07-13,95,18.8,16.9,21.7
2020-07-14,95,19.3,16.3,22.9
2020-07-15,95,22.1,16.2,29.4
2020-07-16,95,23.3,17.9,29.1
2020-07-17,95,24.7,20.3,30.6
2020-07-18,95,24,20.7,29.2
2020-07-19,95,21.9,19.2,27.2
2020-07-20,95,23.3,21.4,27.5
2020-07-21,95,24,20.5,29.3
2020-07-22,95,23.4,19.4,28.5
2020-07-23,95,20.9,18.2,23.8
2020-07-24,95,21.6,18.2,25.9
2020-07-25,95,22.7,20.6,26.5
2020-07-26,95,22.8,19.8,27
2020-07-27,95,21.8,19.6,24.1
2020-07-28,95,23.7,20.1,27.7
2020-07-29,95,23.2,21.8,27.3
2020-07-30,95,24.6,20.9,29.3
2020-07-31,95,25.6,20.9,30
2020-08-01,95,23.3,22.2,25.1
2020-08-02,95,23.8,22.3,27.2
2020-08-03,95,24.6,22.5,26
