기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 춘천
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,101,-0.6,-6.1,4.9
2020-01-21,101,-2.5,-8.8,4.8
2020-01-22,101,-0.1,-3.1,5.1
2020-01-23,101,2,-3.9,11.2
2020-01-24,101,1.3,-4.9,8.9
2020-01-25,101,2.5,-0.8,8.3
2020-01-26,101,4.1,-2.1,10.5
2020-01-27,101,6.1,4.9,7.1
2020-01-28,101,6,0.1,10.2
2020-01-29,101,2,-3.2,8.3
2020-01-30,101,2.5,-1.5,8.5
2020-01-31,101,3.1,-0.6,8.9
2020-02-01,101,0.4,-4,6.6
2020-02-02,101,0.5,-4.5,5.5
2020-02-03,101,0.4,-3.9,4.5
2020-02-04,101,-2.1,-9,4
2020-02-05,101,-6.8,-10.7,-2
2020-02-06,101,-6.4,-13,1.6
2020-02-07,101,-3.3,-9.7,3.2
2020-02-08,101,-1.3,-5.4,4.5
2020-02-09,101,-1.4,-9.1,4.5
2020-02-10,101,2.2,-4.1,10.2
2020-02-11,101,3,-5.5,13.5
2020-02-12,101,4.8,1.4,7.5
2020-02-13,101,7.3,2.7,13.2
2020-02-14,101,5.7,1.1,14.2
2020-02-15,101,7.6,0.8,14.5
2020-02-16,101,0.9,-3.8,7.6
2020-02-17,101,-4.8,-6.8,-2.7
2020-02-18,101,-4,-10,2.6
2020-02-19,101,-0.9,-7.8,6.7
2020-02-20,101,2.1,-4.1,10.9
2020-02-21,101,3.6,-1.8,9
2020-02-22,101,4.2,0.4,6.7
2020-02-23,101,2.1,-4,8.2
2020-02-24,101,5.1,-1.7,12.4
2020-02-25,101,4.4,1.6,7.5
2020-02-26,101,3.6,-0.9,8.5
2020-02-27,101,4.6,0.4,11
2020-02-28,101,2.3,-0.7,4.4
2020-02-29,101,6,2.5,11.7
2020-03-01,101,4.8,-0.9,10
2020-03-02,101,4.1,0,8.9
2020-03-03,101,4.6,-2.5,10.8
2020-03-04,101,3.2,-0.1,6.3
2020-03-05,101,1.1,-5.2,8.4
2020-03-06,101,2.1,-5.6,10.6
2020-03-07,101,4.2,-1.6,11.8
2020-03-08,101,6.7,-2.3,17.8
2020-03-09,101,8.8,-0.2,16.8
