기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 태백
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,216,-2.4,-4.3,1.1
2020-01-21,216,-2.2,-10.9,4.9
2020-01-22,216,1.6,-0.1,4.1
2020-01-23,216,2.5,-1.4,10.2
2020-01-24,216,-0.1,-4.7,4.7
2020-01-25,216,1.8,-1.1,4.9
2020-01-26,216,0.2,-2.2,1.9
2020-01-27,216,0.5,-0.2,1
2020-01-28,216,0.7,-0.3,1.7
2020-01-29,216,-0.1,-2,1.8
2020-01-30,216,-1.6,-3.3,0
2020-01-31,216,-2.5,-7.4,3.3
2020-02-01,216,-1.3,-6.6,2.8
2020-02-02,216,-1.7,-7.6,4.6
2020-02-03,216,-3.6,-9.5,1
2020-02-04,216,-5,-12.7,0.9
2020-02-05,216,-8.4,-13.4,-2.1
2020-02-06,216,-9.3,-17.1,-1.8
2020-02-07,216,-3.4,-9.6,1.6
2020-02-08,216,-3.3,-7.1,0.8
2020-02-09,216,-4.2,-10.9,1.9
2020-02-10,216,-0.8,-5.3,5.3
2020-02-11,216,1.2,-8.2,10.7
2020-02-12,216,4.4,0.2,7.5
2020-02-13,216,5.6,-1,11.2
2020-02-14,216,4.8,-1.9,13.8
2020-02-15,216,6.8,3,12.6
2020-02-16,216,-1,-7.3,5.9
2020-02-17,216,-8.1,-10.1,-4.8
2020-02-18,216,-5.5,-11.6,1.7
2020-02-19,216,0.4,-6.4,6.4
2020-02-20,216,1.1,-5,8.8
2020-02-21,216,3.8,-3,9
2020-02-22,216,0.8,-3.2,5.2
2020-02-23,216,-0.3,-5.6,5.2
2020-02-24,216,6.1,-0.1,11.6
2020-02-25,216,1.4,0.1,5.5
2020-02-26,216,0.3,-1.4,2.6
2020-02-27,216,-1.1,-3.3,2.1
2020-02-28,216,0.1,-4.9,3.2
2020-02-29,216,3.4,-0.4,8.8
2020-03-01,216,4.3,-0.6,8.5
2020-03-02,216,1.2,-1.4,6.2
2020-03-03,216,2.8,-2.2,7.6
2020-03-04,216,-0.2,-4.8,3.8
