기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 홍천
기간 : 20200120~20210331

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-20,212,-0.1,-5.6,5.8
2020-01-21,212,-2.4,-8.5,5.8
2020-01-22,212,-0.1,-2.9,5.5
2020-01-23,212,2.1,-4.1,12.2
2020-01-24,212,1.4,-5.3,10.6
2020-01-25,212,2.2,-2.3,9.8
2020-01-26,212,3.4,-3,12.1
2020-01-27,212,5.8,4.3,7
2020-01-28,212,5.7,-0.2,10.7
2020-01-29,212,2.5,-2.6,9.7
2020-01-30,212,2.8,-2,10.1
2020-01-31,212,2.7,-0.8,8.5
2020-02-01,212,0.4,-4,7.3
2020-02-02,212,1,-4,6.3
2020-02-03,212,0.2,-4.6,4.5
2020-02-04,212,-1.9,-8.8,4.8
2020-02-05,212,-6.9,-11,-1.9
2020-02-06,212,-7,-14.4,1.9
2020-02-07,212,-3.3,-9.9,3.2
2020-02-08,212,-0.4,-4.8,4.7
2020-02-09,212,-1.8,-9.3,5
2020-02-10,212,2.1,-4,10
2020-02-11,212,2.9,-5.8,14
2020-02-12,212,4.2,1.2,6
2020-02-13,212,6.9,2,13.4
2020-02-14,212,5.2,1.4,14.5
2020-02-15,212,7.2,-0.4,16.8
2020-02-16,212,0.6,-4.5,7.1
2020-02-17,212,-5.2,-6.9,-3.4
2020-02-18,212,-4.3,-10.3,2.3
2020-02-19,212,-0.9,-8.3,7.4
2020-02-20,212,2.3,-4,11.9
2020-02-21,212,4.3,-2.1,12.4
2020-02-22,212,4,0.2,7
2020-02-23,212,1.6,-4.3,8.8
2020-02-24,212,5,-2.3,14
2020-02-25,212,4.1,1.4,6.7
2020-02-26,212,3.8,-1.1,9.9
2020-02-27,212,4.8,0.2,11.8
2020-02-28,212,1.9,-1.3,3.8
2020-02-29,212,5.3,0.8,12
2020-03-01,212,4.8,-1.6,11.7
2020-03-02,212,3.9,-0.7,9.6
2020-03-03,212,4.5,-3.3,11.7
2020-03-04,212,2.9,-0.6,7.4
2020-03-05,212,1.1,-4.6,8.5
2020-03-06,212,2.2,-5.9,11.8
2020-03-07,212,4.5,-2,12.6
2020-03-08,212,7,-2.5,18.7
2020-03-09,212,9.4,-1,18.8
2020-03-10,212,7.6,4.5,11
2020-03-11,212,3.5,-0.4,9
2020-03-12,212,5.5,-3.5,13.5
2020-03-13,212,6.2,-0.6,12.3
2020-03-14,212,3.4,-4.9,10.4
2020-03-15,212,3.2,-1.3,10.1
2020-03-16,212,3.2,-4,10.9
2020-03-17,212,2.4,-1,6.4
2020-03-18,212,7.5,1,17.2
2020-03-19,212,6.9,0.9,13.2
2020-03-20,212,8.6,0.8,16
2020-03-21,212,10.9,1.3,19.8
2020-03-22,212,11.7,5.7,18.8
2020-03-23,212,8.9,-0.7,18.2
2020-03-24,212,9.2,-0.4,19
2020-03-25,212,11.1,0.4,21.2
2020-03-26,212,14.1,3,23.5
2020-03-27,212,12.1,6.3,16.2
2020-03-28,212,7.1,1.1,14.7
2020-03-29,212,7.6,-1.9,16.7
2020-03-30,212,9.2,0.1,19.3
2020-03-31,212,11.1,0.5,20.6
2020-04-01,212,9.3,2.5,20.1
2020-04-02,212,8,1.5,17.9
2020-04-03,212,9.1,-1.3,18.7
2020-04-04,212,7.9,1.8,15.8
2020-04-05,212,6.5,-2.8,15.8
2020-04-06,212,8.9,-1.6,18.6
2020-04-07,212,10.9,1.3,19.3
2020-04-08,212,8.8,1.4,15.5
2020-04-09,212,8.5,-1,16.4
2020-04-10,212,9.4,1.2,16.3
2020-04-11,212,9.5,2.6,17.1
2020-04-12,212,7.2,1.1,12.8
2020-04-13,212,8.7,0,18.1
2020-04-14,212,11.5,-0.4,22.6
2020-04-15,212,13.5,2.2,23.4
2020-04-16,212,15.2,5.4,24.5
2020-04-17,212,10.5,8.6,13.8
2020-04-18,212,12.7,7.4,20.2
2020-04-19,212,10.9,7.5,17
2020-04-20,212,9.9,7.6,13.9
2020-04-21,212,7,3.2,12.2
2020-04-22,212,6.4,3.5,8.9
2020-04-23,212,7.5,1.3,14.1
2020-04-24,212,8.8,-0.5,16.3
2020-04-25,212,12.7,3.7,20.3
2020-04-26,212,11.7,4.7,18.7
2020-04-27,212,10.3,3.5,17.7
