,date,province,총소비,숙박업,레저스포츠,문화서비스,쇼핑(면세점 제외),식음료
0,20190101,Gangwon-do,2118913513,363350848,124374450,55426200,132477810,1439118605
1,20190102,Gangwon-do,749735647,133344805,66260240,34309310,77429460,438027832
2,20190103,Gangwon-do,687116814,122709604,50308700,31476300,65833460,416542450
3,20190104,Gangwon-do,812609757,126291275,63451130,40883020,81319820,500454512
4,20190105,Gangwon-do,1941231621,293520888,153755530,81896680,200587065,1208503458
5,20190106,Gangwon-do,1462686105,291321931,120163160,60157080,120475575,868992859
6,20190107,Gangwon-do,665959803,102677670,69272800,34905340,72382450,386343143
7,20190108,Gangwon-do,603572179,83236830,42195920,26373800,61617750,389970679
8,20190109,Gangwon-do,656963532,166893343,39675930,26529610,38630410,385068239
9,20190110,Gangwon-do,651781187,84215994,44089230,31110470,62841620,429472273
10,20190111,Gangwon-do,937319389,160764074,73744465,40260290,84944480,576989380
11,20190112,Gangwon-do,2360438992,354286410,179692850,99713070,205449275,1517889287
12,20190113,Gangwon-do,1754271409,315273432,149382810,66369010,95675680,1124226277
13,20190114,Gangwon-do,730458003,138802021,52975970,35112500,64048040,438853502
14,20190115,Gangwon-do,701452592,142865759,42445940,25374050,65152961,425613882
15,20190116,Gangwon-do,667738154,124396970,41108950,26077740,58015750,418061444
16,20190117,Gangwon-do,690883193,108336382,45240390,30348820,54846230,452111371
17,20190118,Gangwon-do,990704887,168192382,64950582,44064100,91111181,620711892
18,20190119,Gangwon-do,2487489819,387427592,189935810,96491600,222248110,1586686807
19,20190120,Gangwon-do,1862775887,340976382,154111680,69918240,131609296,1163179139
20,20190121,Gangwon-do,728450419,145754997,49806970,32414590,59723495,440640367
21,20190122,Gangwon-do,663897004,101028955,47318990,24325200,61525100,429237939
22,20190123,Gangwon-do,665648276,141164886,36388590,27875650,37829770,422267080
23,20190124,Gangwon-do,698302595,111859300,44808300,24612650,68312820,448087625
24,20190125,Gangwon-do,910937748,158589081,63318255,36578430,79884399,571875583
25,20190126,Gangwon-do,2349295061,360171000,181002352,105858710,239257890,1458911909
26,20190127,Gangwon-do,1666548846,310257053,145983515,68390860,97940140,1042941078
